Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Lin                 ,Quad                ,Offset    
fuv1=[ 0.23840  , 0.11959  ,  3.2946e+07   , 0.69944  , 1.81847  ,  7.346767219e-08   ,  -1.814743065e-16  , 5.21829  ]
fuv2=[ 0.38421  , 0.21835  ,  3.2160e+07   , 0.45727  , 1.24349  ,  -2.528219460e-07  ,  3.171033202e-16   , 57.10891 ]
fuv3=[ 1.83104  , 1.45291  ,  3.1964e+07   , 0.44334  , 1.13597  ,  -4.799976137e-07  ,  6.130669778e-16   ,101.83218 ]
fuv4=[ 0.40758  , 0.16464  ,  3.3285e+07   , 0.77466  , 1.94434  ,  9.774825417e-08   ,  -2.483170615e-16  , 4.69555  ]
nuv1=[ 0.56512  , 0.49293  ,  3.1547e+07   , 0.32121  , -0.13606 ,  1.692081662e-08   ,  -3.342051242e-17  , 0.20861  ]
nuv2=[ 0.70731  , 0.61869  ,  3.1554e+07   , 0.32409  , 0.86686  ,  2.354131966e-08   ,  -4.142066014e-17  , -0.89639 ]
nuv3=[ 0.26610  , 0.21561  ,  3.1305e+07   , 0.22642  , 0.71598  ,  1.822440206e-08   ,  -4.823838267e-17  , 2.88396  ]
nuv4=[ 0.45567  , 0.38157  ,  3.1692e+07   , 0.36273  , 0.95773  ,  -5.766990873e-08  ,  7.142837369e-17   , 14.48135 ]
