Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Lin                 ,Quad                ,Offset
fuv1=[ 0.17631  , 0.20743  ,  3.2633e+07   , 0.58308  , 1.67155  ,  3.029616297e-08   ,  -8.651489068e-17  , 9.05591  ]
fuv2=[ 0.32335  , 0.24051  ,  3.2025e+07   , 0.40782  , 1.19016  ,  -2.987631490e-07  ,  3.995501834e-16   , 63.27876 ]
fuv3=[ 1.86956  , 1.70450  ,  3.1039e+07   , 0.12637  , 0.51178  ,  -4.045912500e-07  ,  4.943068090e-16   , 89.90080 ]
fuv4=[ 0.31619  , 0.21020  ,  3.0310e+07   , -0.19214 , -0.06048 ,  -4.207883430e-07  ,  5.302215357e-16   , 90.90900 ]
nuv1=[ 0.64251  , 0.56032  ,  3.1084e+07   , 0.14736  , -0.45261 ,  4.673801723e-08   ,  -7.501413998e-17  , -5.14820 ]
nuv2=[ 0.80150  , 0.68844  ,  3.1203e+07   , 0.18914  , 0.62686  ,  1.306919223e-07   ,  -1.975373433e-16  ,-19.29308 ]
nuv3=[ 0.32510  , 0.25638  ,  3.1087e+07   , 0.14783  , 0.54632  ,  -1.408938343e-08  ,  5.751933824e-18   , 7.60347  ]
nuv4=[ 0.51441  , 0.43127  ,  3.1125e+07   , 0.16059  , 0.56954  ,  -1.077947689e-08  ,  3.116007895e-18   , 6.42802  ]
