#2024/12 Number Pass = 72 (94.7368%)
                               file                  time    pass    total5   exptime
            NUV20241218_172013.fits   2024/12/18T17:20:13       1        25      0.05
            NUV20241218_172024.fits   2024/12/18T17:20:24       1        96      1.03
            NUV20241218_172040.fits   2024/12/18T17:20:40       1       166      5.02
            NUV20241218_172129.fits   2024/12/18T17:21:29       1       137     30.02
            NUV20241218_172512.fits   2024/12/18T17:25:12       1        42      0.05
            NUV20241218_172523.fits   2024/12/18T17:25:23       1        90      1.02
            NUV20241218_172540.fits   2024/12/18T17:25:40       1       143      5.02
            NUV20241218_172620.fits   2024/12/18T17:26:20       1       106     30.02
            NUV20241218_173013.fits   2024/12/18T17:30:13       1        27      0.05
            NUV20241218_173022.fits   2024/12/18T17:30:22       1        79      1.02
            NUV20241218_173041.fits   2024/12/18T17:30:41       1       170      5.02
            NUV20241218_173129.fits   2024/12/18T17:31:29       1       136     30.02
            NUV20241218_173512.fits   2024/12/18T17:35:12       1        31      0.05
            NUV20241218_173523.fits   2024/12/18T17:35:23       1        85      1.02
            NUV20241218_173541.fits   2024/12/18T17:35:41       1       132      5.02
            NUV20241218_173629.fits   2024/12/18T17:36:29       1       136     30.02
            NUV20241218_174013.fits   2024/12/18T17:40:13       1        13      0.05
            NUV20241218_174023.fits   2024/12/18T17:40:23       1        90      1.02
            NUV20241218_174040.fits   2024/12/18T17:40:40       1       173      5.02
            NUV20241218_174120.fits   2024/12/18T17:41:20       1       150     30.02
            NUV20241218_174512.fits   2024/12/18T17:45:12       1         7      0.05
            NUV20241218_174523.fits   2024/12/18T17:45:23       1        98      1.02
            NUV20241218_174540.fits   2024/12/18T17:45:40       1       248      5.02
            NUV20241218_174620.fits   2024/12/18T17:46:20       1       157     30.02
            NUV20241218_175013.fits   2024/12/18T17:50:13       1         7      0.05
            NUV20241218_175023.fits   2024/12/18T17:50:23       1        77      1.02
            NUV20241218_175040.fits   2024/12/18T17:50:40       0       281      5.02
            NUV20241218_175121.fits   2024/12/18T17:51:21       1       162     30.02
            NUV20241218_175513.fits   2024/12/18T17:55:13       1         9      0.05
            NUV20241218_175523.fits   2024/12/18T17:55:23       1       102      1.02
            NUV20241218_175540.fits   2024/12/18T17:55:40       0       277      5.02
            NUV20241218_175620.fits   2024/12/18T17:56:20       1       175     30.02
            NUV20241218_190011.fits   2024/12/18T19:00:11       1        15      0.05
            NUV20241218_190026.fits   2024/12/18T19:00:26       1        83      1.03
            NUV20241218_190040.fits   2024/12/18T19:00:40       1       170      5.02
            NUV20241218_190120.fits   2024/12/18T19:01:20       1        83     30.02
            NUV20241218_190511.fits   2024/12/18T19:05:11       1        69      0.05
            NUV20241218_190521.fits   2024/12/18T19:05:21       1        85      1.02
            NUV20241218_190540.fits   2024/12/18T19:05:40       1       191      5.02
            NUV20241218_190629.fits   2024/12/18T19:06:29       1       129     30.02
            NUV20241218_191012.fits   2024/12/18T19:10:12       1        24      0.05
            NUV20241218_191021.fits   2024/12/18T19:10:21       1        80      1.02
            NUV20241218_191040.fits   2024/12/18T19:10:40       1       184      5.02
            NUV20241218_191120.fits   2024/12/18T19:11:20       1       110     30.02
            NUV20241218_191511.fits   2024/12/18T19:15:11       1        16      0.05
            NUV20241218_191522.fits   2024/12/18T19:15:22       1       100      1.02
            NUV20241218_191540.fits   2024/12/18T19:15:40       1       209      5.02
            NUV20241218_191628.fits   2024/12/18T19:16:28       1       156     30.02
            NUV20241218_192012.fits   2024/12/18T19:20:12       1         5      0.05
            NUV20241218_192022.fits   2024/12/18T19:20:22       1        71      1.02
            NUV20241218_192040.fits   2024/12/18T19:20:40       1       249      5.02
            NUV20241218_192120.fits   2024/12/18T19:21:20       1       160     30.02
            NUV20241218_192511.fits   2024/12/18T19:25:11       1        17      0.05
            NUV20241218_192522.fits   2024/12/18T19:25:22       1        98      1.02
            NUV20241218_192540.fits   2024/12/18T19:25:40       0       284      5.02
            NUV20241218_192627.fits   2024/12/18T19:26:27       1       175     30.02
            NUV20241218_193012.fits   2024/12/18T19:30:12       1        13      0.05
            NUV20241218_193022.fits   2024/12/18T19:30:22       1       100      1.02
            NUV20241218_193049.fits   2024/12/18T19:30:49       0       331      5.02
            NUV20241218_193127.fits   2024/12/18T19:31:27       1       179     30.02
            NUV20241218_203752.fits   2024/12/18T20:37:52       1        28      0.05
            NUV20241218_203802.fits   2024/12/18T20:38:02       1        87      1.03
            NUV20241218_203820.fits   2024/12/18T20:38:20       1       187      5.02
            NUV20241218_203907.fits   2024/12/18T20:39:07       1        78     30.02
            NUV20241218_204251.fits   2024/12/18T20:42:51       1        33      0.05
            NUV20241218_204302.fits   2024/12/18T20:43:02       1        79      1.02
            NUV20241218_204320.fits   2024/12/18T20:43:20       1       115      5.02
            NUV20241218_204409.fits   2024/12/18T20:44:09       1       141     30.02
            NUV20241218_204751.fits   2024/12/18T20:47:51       1        18      0.05
            NUV20241218_204802.fits   2024/12/18T20:48:02       1       125      1.02
            NUV20241218_204829.fits   2024/12/18T20:48:29       1       190      5.02
            NUV20241218_204908.fits   2024/12/18T20:49:08       1       105     30.02
            NUV20241218_205252.fits   2024/12/18T20:52:52       1        12      0.05
            NUV20241218_205302.fits   2024/12/18T20:53:02       1        81      1.02
            NUV20241218_205320.fits   2024/12/18T20:53:20       1       193      5.02
            NUV20241218_205408.fits   2024/12/18T20:54:08       1       139     30.02
