#2025/01 Number Pass = 70 (92.1053%)
                               file                  time    pass    total5   exptime
            FUV20250116_005149.fits   2025/01/16T00:51:49       1        29      0.14
            FUV20250116_005157.fits   2025/01/16T00:51:57       1        84      1.02
            FUV20250116_005226.fits   2025/01/16T00:52:26       1       161      5.02
            FUV20250116_005333.fits   2025/01/16T00:53:33       1       133     30.02
            FUV20250116_005648.fits   2025/01/16T00:56:48       1         5      0.13
            FUV20250116_005657.fits   2025/01/16T00:56:57       1        69      1.02
            FUV20250116_005726.fits   2025/01/16T00:57:26       1       183      5.02
            FUV20250116_005833.fits   2025/01/16T00:58:33       0         0     30.02
            FUV20250116_010148.fits   2025/01/16T01:01:48       1        12      0.13
            FUV20250116_010158.fits   2025/01/16T01:01:58       1        81      1.03
            FUV20250116_010225.fits   2025/01/16T01:02:25       1       193      5.02
            FUV20250116_010334.fits   2025/01/16T01:03:34       1       134     30.02
            FUV20250116_010648.fits   2025/01/16T01:06:48       1        48      0.13
            FUV20250116_010656.fits   2025/01/16T01:06:56       1       246      1.02
            FUV20250116_010725.fits   2025/01/16T01:07:25       1       194      5.02
            FUV20250116_010834.fits   2025/01/16T01:08:34       1       114     30.02
            FUV20250116_011148.fits   2025/01/16T01:11:48       1        26      0.13
            FUV20250116_011158.fits   2025/01/16T01:11:58       1       115      1.03
            FUV20250116_011225.fits   2025/01/16T01:12:25       1       180      5.02
            FUV20250116_011334.fits   2025/01/16T01:13:34       1       117     30.02
            FUV20250116_011648.fits   2025/01/16T01:16:48       1        17      0.13
            FUV20250116_011658.fits   2025/01/16T01:16:58       1       113      1.03
            FUV20250116_011726.fits   2025/01/16T01:17:26       1       147      5.02
            FUV20250116_011834.fits   2025/01/16T01:18:34       1       101     30.02
            FUV20250116_012148.fits   2025/01/16T01:21:48       1        17      0.13
            FUV20250116_012158.fits   2025/01/16T01:21:58       1       115      1.03
            FUV20250116_012225.fits   2025/01/16T01:22:25       1       214      5.02
            FUV20250116_012333.fits   2025/01/16T01:23:33       1       116     30.02
            FUV20250116_012648.fits   2025/01/16T01:26:48       1        34      0.13
            FUV20250116_012658.fits   2025/01/16T01:26:58       1       143      1.03
            FUV20250116_012726.fits   2025/01/16T01:27:26       1       244      5.02
            FUV20250116_012833.fits   2025/01/16T01:28:33       1       130     30.02
            FUV20250116_013148.fits   2025/01/16T01:31:48       1         7      0.13
            FUV20250116_013158.fits   2025/01/16T01:31:58       1       125      1.03
            FUV20250116_013226.fits   2025/01/16T01:32:26       0       292      5.02
            FUV20250116_013334.fits   2025/01/16T01:33:34       1       141     30.02
            FUV20250116_013648.fits   2025/01/16T01:36:48       1         7      0.13
            FUV20250116_013656.fits   2025/01/16T01:36:56       1       114      1.02
            FUV20250116_013726.fits   2025/01/16T01:37:26       0       303      5.02
            FUV20250116_013833.fits   2025/01/16T01:38:33       1       168     30.02
            FUV20250116_014148.fits   2025/01/16T01:41:48       1         6      0.13
            FUV20250116_014158.fits   2025/01/16T01:41:58       1       133      1.03
            FUV20250116_014225.fits   2025/01/16T01:42:25       0       331      5.02
            FUV20250116_014333.fits   2025/01/16T01:43:33       1       180     30.02
            FUV20250116_014648.fits   2025/01/16T01:46:48       1        11      0.13
            FUV20250116_014658.fits   2025/01/16T01:46:58       1       139      1.03
            FUV20250116_014725.fits   2025/01/16T01:47:25       0       353      5.02
            FUV20250116_014834.fits   2025/01/16T01:48:34       1       171     30.02
            FUV20250116_022008.fits   2025/01/16T02:20:08       1        10      0.13
            FUV20250116_022018.fits   2025/01/16T02:20:18       1       133      1.03
            FUV20250116_022035.fits   2025/01/16T02:20:35       0       281      5.02
            FUV20250116_022142.fits   2025/01/16T02:21:42       1       170     30.02
            FUV20250116_022508.fits   2025/01/16T02:25:08       1         4      0.13
            FUV20250116_022517.fits   2025/01/16T02:25:17       1       107      1.02
            FUV20250116_022535.fits   2025/01/16T02:25:35       1       245      5.02
            FUV20250116_022642.fits   2025/01/16T02:26:42       1       157     30.02
            FUV20250116_023008.fits   2025/01/16T02:30:08       1         8      0.13
            FUV20250116_023017.fits   2025/01/16T02:30:17       1        71      1.02
            FUV20250116_023036.fits   2025/01/16T02:30:36       1       246      5.02
            FUV20250116_023144.fits   2025/01/16T02:31:44       1       140     30.02
            FUV20250116_023508.fits   2025/01/16T02:35:08       1        17      0.13
            FUV20250116_023517.fits   2025/01/16T02:35:17       1        73      1.02
            FUV20250116_023536.fits   2025/01/16T02:35:36       1       213      5.02
            FUV20250116_023644.fits   2025/01/16T02:36:44       1       149     30.03
            FUV20250116_024008.fits   2025/01/16T02:40:08       1        60      0.13
            FUV20250116_024018.fits   2025/01/16T02:40:18       1        64      1.03
            FUV20250116_024035.fits   2025/01/16T02:40:35       1       151      5.02
            FUV20250116_024143.fits   2025/01/16T02:41:43       1       131     30.02
            FUV20250116_024508.fits   2025/01/16T02:45:08       1        17      0.13
            FUV20250116_024517.fits   2025/01/16T02:45:17       1        75      1.02
            FUV20250116_024535.fits   2025/01/16T02:45:35       1       190      5.02
            FUV20250116_024642.fits   2025/01/16T02:46:42       1       121     30.02
            FUV20250116_025008.fits   2025/01/16T02:50:08       1        28      0.13
            FUV20250116_025018.fits   2025/01/16T02:50:18       1       115      1.03
            FUV20250116_025036.fits   2025/01/16T02:50:36       1       218      5.02
            FUV20250116_025144.fits   2025/01/16T02:51:44       1       142     30.02
