#2025/05 Number Pass = 75 (98.6842%)
                               file                  time    pass    total5   exptime
            FUV20250508_020456.fits   2025/05/08T02:04:56       1         8      0.13
            FUV20250508_020506.fits   2025/05/08T02:05:06       1        58      1.03
            FUV20250508_020533.fits   2025/05/08T02:05:33       1       173      5.02
            FUV20250508_020640.fits   2025/05/08T02:06:40       1       148     30.02
            FUV20250508_020956.fits   2025/05/08T02:09:56       1        11      0.13
            FUV20250508_021005.fits   2025/05/08T02:10:05       1        85      1.02
            FUV20250508_021034.fits   2025/05/08T02:10:34       1       167      5.02
            FUV20250508_021142.fits   2025/05/08T02:11:42       1       131     30.02
            FUV20250508_021456.fits   2025/05/08T02:14:56       1        26      0.13
            FUV20250508_021506.fits   2025/05/08T02:15:06       1        58      1.03
            FUV20250508_021533.fits   2025/05/08T02:15:33       1       175      5.02
            FUV20250508_021640.fits   2025/05/08T02:16:40       1       133     30.02
            FUV20250508_021956.fits   2025/05/08T02:19:56       1        23      0.13
            FUV20250508_022005.fits   2025/05/08T02:20:05       1        97      1.02
            FUV20250508_022034.fits   2025/05/08T02:20:34       1       164      5.02
            FUV20250508_022141.fits   2025/05/08T02:21:41       1       200     30.02
            FUV20250508_022456.fits   2025/05/08T02:24:56       1        30      0.13
            FUV20250508_022505.fits   2025/05/08T02:25:05       1       101      1.02
            FUV20250508_022532.fits   2025/05/08T02:25:32       1       143      5.02
            FUV20250508_022642.fits   2025/05/08T02:26:42       1        77     30.02
            FUV20250508_022956.fits   2025/05/08T02:29:56       1        15      0.13
            FUV20250508_023005.fits   2025/05/08T02:30:05       1        73      1.02
            FUV20250508_023033.fits   2025/05/08T02:30:33       1       136      5.02
            FUV20250508_023140.fits   2025/05/08T02:31:40       1        95     30.02
            FUV20250508_023456.fits   2025/05/08T02:34:56       1        51      0.13
            FUV20250508_023506.fits   2025/05/08T02:35:06       1        60      1.03
            FUV20250508_023533.fits   2025/05/08T02:35:33       1       138      5.02
            FUV20250508_023641.fits   2025/05/08T02:36:41       1        91     30.02
            FUV20250508_023956.fits   2025/05/08T02:39:56       1        32      0.13
            FUV20250508_024006.fits   2025/05/08T02:40:06       1        93      1.03
            FUV20250508_024033.fits   2025/05/08T02:40:33       1       130      5.02
            FUV20250508_024141.fits   2025/05/08T02:41:41       1       135     30.02
            FUV20250508_024456.fits   2025/05/08T02:44:56       1        41      0.13
            FUV20250508_024505.fits   2025/05/08T02:45:05       1        53      1.02
            FUV20250508_024534.fits   2025/05/08T02:45:34       1       109      5.02
            FUV20250508_024641.fits   2025/05/08T02:46:41       1       128     30.02
            FUV20250508_024956.fits   2025/05/08T02:49:56       1         6      0.13
            FUV20250508_025005.fits   2025/05/08T02:50:05       1        48      1.02
            FUV20250508_025034.fits   2025/05/08T02:50:34       1       107      5.02
            FUV20250508_025142.fits   2025/05/08T02:51:42       1       129     30.03
            FUV20250508_025456.fits   2025/05/08T02:54:56       0         4      0.13
            FUV20250508_025504.fits   2025/05/08T02:55:04       1        43      1.02
            FUV20250508_025534.fits   2025/05/08T02:55:34       1       114      5.02
            FUV20250508_025642.fits   2025/05/08T02:56:42       1       115     30.02
            FUV20250508_025956.fits   2025/05/08T02:59:56       1        51      0.13
            FUV20250508_030005.fits   2025/05/08T03:00:05       1        51      1.02
            FUV20250508_030033.fits   2025/05/08T03:00:33       1       129      5.02
            FUV20250508_030142.fits   2025/05/08T03:01:42       1       122     30.02
            FUV20250508_030456.fits   2025/05/08T03:04:56       1        27      0.13
            FUV20250508_030506.fits   2025/05/08T03:05:06       1        47      1.03
            FUV20250508_030534.fits   2025/05/08T03:05:34       1       135      5.02
            FUV20250508_030642.fits   2025/05/08T03:06:42       1        93     30.03
            FUV20250508_030956.fits   2025/05/08T03:09:56       1        30      0.13
            FUV20250508_031005.fits   2025/05/08T03:10:05       1        94      1.02
            FUV20250508_031034.fits   2025/05/08T03:10:34       1       128      5.02
            FUV20250508_031141.fits   2025/05/08T03:11:41       1       113     30.02
            FUV20250508_031456.fits   2025/05/08T03:14:56       1        25      0.13
            FUV20250508_031506.fits   2025/05/08T03:15:06       1        84      1.03
            FUV20250508_031533.fits   2025/05/08T03:15:33       1       105      5.02
            FUV20250508_031641.fits   2025/05/08T03:16:41       1       130     30.02
            FUV20250508_031956.fits   2025/05/08T03:19:56       1        12      0.13
            FUV20250508_032006.fits   2025/05/08T03:20:06       1        67      1.03
            FUV20250508_032033.fits   2025/05/08T03:20:33       1       138      5.02
            FUV20250508_032141.fits   2025/05/08T03:21:41       1        95     30.02
            FUV20250508_032456.fits   2025/05/08T03:24:56       1        23      0.13
            FUV20250508_032504.fits   2025/05/08T03:25:04       1        58      1.02
            FUV20250508_032533.fits   2025/05/08T03:25:33       1       152      5.02
            FUV20250508_032641.fits   2025/05/08T03:26:41       1       138     30.02
            FUV20250508_032956.fits   2025/05/08T03:29:56       1         6      0.13
            FUV20250508_033004.fits   2025/05/08T03:30:04       1        78      1.02
            FUV20250508_033033.fits   2025/05/08T03:30:33       1       168      5.02
            FUV20250508_033141.fits   2025/05/08T03:31:41       1       133     30.02
            FUV20250508_033456.fits   2025/05/08T03:34:56       1         6      0.13
            FUV20250508_033506.fits   2025/05/08T03:35:06       1        41      1.03
            FUV20250508_033533.fits   2025/05/08T03:35:33       1       163      5.02
            FUV20250508_033641.fits   2025/05/08T03:36:41       1       144     30.02
