#2024/06 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20240606_013748.fits   2024/06/06T01:37:48       1        16      0.08
            NUV20240606_013756.fits   2024/06/06T01:37:56       1        52      1.02
            NUV20240606_013803.fits   2024/06/06T01:38:03       1       133      5.02
            NUV20240606_013851.fits   2024/06/06T01:38:51       1        84     30.02
            NUV20240606_014245.fits   2024/06/06T01:42:45       1        34      0.05
            NUV20240606_014256.fits   2024/06/06T01:42:56       1       123      1.02
            NUV20240606_014303.fits   2024/06/06T01:43:03       1       139      5.02
            NUV20240606_014355.fits   2024/06/06T01:43:55       1       111     30.02
            NUV20240606_014745.fits   2024/06/06T01:47:45       1        23      0.05
            NUV20240606_014755.fits   2024/06/06T01:47:55       1        92      1.02
            NUV20240606_014803.fits   2024/06/06T01:48:03       1        82      5.02
            NUV20240606_014853.fits   2024/06/06T01:48:53       1       122     30.02
            NUV20240606_015245.fits   2024/06/06T01:52:45       1        12      0.05
            NUV20240606_015256.fits   2024/06/06T01:52:56       1        66      1.02
            NUV20240606_015304.fits   2024/06/06T01:53:04       1       108      5.02
            NUV20240606_015353.fits   2024/06/06T01:53:53       1       112     30.02
            NUV20240606_015745.fits   2024/06/06T01:57:45       1        16      0.05
            NUV20240606_015756.fits   2024/06/06T01:57:56       1        57      1.02
            NUV20240606_015803.fits   2024/06/06T01:58:03       1       112      5.02
            NUV20240606_015853.fits   2024/06/06T01:58:53       1        60     30.02
            NUV20240606_020245.fits   2024/06/06T02:02:45       1        30      0.05
            NUV20240606_020256.fits   2024/06/06T02:02:56       1        90      1.02
            NUV20240606_020303.fits   2024/06/06T02:03:03       1        97      5.02
            NUV20240606_020353.fits   2024/06/06T02:03:53       1        81     30.02
            NUV20240606_020745.fits   2024/06/06T02:07:45       1         8      0.05
            NUV20240606_020756.fits   2024/06/06T02:07:56       1        54      1.02
            NUV20240606_020803.fits   2024/06/06T02:08:03       1        63      5.02
            NUV20240606_020853.fits   2024/06/06T02:08:53       1       114     30.02
            NUV20240606_021245.fits   2024/06/06T02:12:45       1         7      0.06
            NUV20240606_021256.fits   2024/06/06T02:12:56       1        38      1.03
            NUV20240606_021303.fits   2024/06/06T02:13:03       1       100      5.02
            NUV20240606_021352.fits   2024/06/06T02:13:52       1       107     30.02
            NUV20240606_021745.fits   2024/06/06T02:17:45       1         9      0.06
            NUV20240606_021755.fits   2024/06/06T02:17:55       1        52      1.02
            NUV20240606_021803.fits   2024/06/06T02:18:03       1        99      5.02
            NUV20240606_021853.fits   2024/06/06T02:18:53       1       102     30.02
            NUV20240606_022245.fits   2024/06/06T02:22:45       1         6      0.06
            NUV20240606_022255.fits   2024/06/06T02:22:55       1        38      1.02
            NUV20240606_022303.fits   2024/06/06T02:23:03       1        82      5.02
            NUV20240606_022353.fits   2024/06/06T02:23:53       1        98     30.02
            NUV20240606_022745.fits   2024/06/06T02:27:45       1        14      0.05
            NUV20240606_022756.fits   2024/06/06T02:27:56       1       107      1.02
            NUV20240606_022803.fits   2024/06/06T02:28:03       1        68      5.02
            NUV20240606_022851.fits   2024/06/06T02:28:51       1        88     30.02
            NUV20240606_023245.fits   2024/06/06T02:32:45       1        23      0.06
            NUV20240606_023256.fits   2024/06/06T02:32:56       1        93      1.02
            NUV20240606_023303.fits   2024/06/06T02:33:03       1        91      5.02
            NUV20240606_023351.fits   2024/06/06T02:33:51       1        53     30.02
            NUV20240606_023745.fits   2024/06/06T02:37:45       1         6      0.06
            NUV20240606_023755.fits   2024/06/06T02:37:55       1        63      1.02
            NUV20240606_023803.fits   2024/06/06T02:38:03       1        77      5.02
            NUV20240606_023853.fits   2024/06/06T02:38:53       1        92     30.02
            NUV20240606_024245.fits   2024/06/06T02:42:45       1        23      0.05
            NUV20240606_024255.fits   2024/06/06T02:42:55       1        80      1.02
            NUV20240606_024303.fits   2024/06/06T02:43:03       1       101      5.02
            NUV20240606_024353.fits   2024/06/06T02:43:53       1        62     30.02
            NUV20240606_024745.fits   2024/06/06T02:47:45       1        44      0.05
            NUV20240606_024756.fits   2024/06/06T02:47:56       1        98      1.02
            NUV20240606_024803.fits   2024/06/06T02:48:03       1       116      5.02
            NUV20240606_024853.fits   2024/06/06T02:48:53       1       106     30.02
            NUV20240606_025245.fits   2024/06/06T02:52:45       1        12      0.05
            NUV20240606_025255.fits   2024/06/06T02:52:55       1        51      1.02
            NUV20240606_025304.fits   2024/06/06T02:53:04       1       149      5.02
            NUV20240606_025353.fits   2024/06/06T02:53:53       1       106     30.02
            NUV20240606_025745.fits   2024/06/06T02:57:45       1        38      0.06
            NUV20240606_025756.fits   2024/06/06T02:57:56       1        42      1.02
            NUV20240606_025803.fits   2024/06/06T02:58:03       1       146      5.02
            NUV20240606_025851.fits   2024/06/06T02:58:51       1       122     30.02
            NUV20240606_030245.fits   2024/06/06T03:02:45       1        10      0.06
            NUV20240606_030256.fits   2024/06/06T03:02:56       1        58      1.03
            NUV20240606_030303.fits   2024/06/06T03:03:03       1       168      5.02
            NUV20240606_030353.fits   2024/06/06T03:03:53       1       103     30.02
            NUV20240606_030745.fits   2024/06/06T03:07:45       1        10      0.05
            NUV20240606_030756.fits   2024/06/06T03:07:56       1        82      1.03
            NUV20240606_030804.fits   2024/06/06T03:08:04       1       172      5.02
            NUV20240606_030853.fits   2024/06/06T03:08:53       1       132     30.02
