#2023/12 Number Pass = 67 (94.3662%)
                               file                  time    pass    total5   exptime
            FUV20231221_011757.fits   2023/12/21T01:17:57       1        23      0.15
            FUV20231221_011805.fits   2023/12/21T01:18:05       1       101      1.02
            FUV20231221_011831.fits   2023/12/21T01:18:31       1       253      5.02
            FUV20231221_011948.fits   2023/12/21T01:19:48       1       143     30.02
            FUV20231221_012254.fits   2023/12/21T01:22:54       1        63      0.13
            FUV20231221_012302.fits   2023/12/21T01:23:02       1       102      1.02
            FUV20231221_012331.fits   2023/12/21T01:23:31       0       309      5.02
            FUV20231221_012448.fits   2023/12/21T01:24:48       1       170     30.02
            FUV20231221_012754.fits   2023/12/21T01:27:54       1         5      0.13
            FUV20231221_012805.fits   2023/12/21T01:28:05       1       116      1.04
            FUV20231221_012831.fits   2023/12/21T01:28:31       0       283      5.02
            FUV20231221_012948.fits   2023/12/21T01:29:48       1       171     30.02
            FUV20231221_020616.fits   2023/12/21T02:06:16       1         7      0.16
            FUV20231221_020631.fits   2023/12/21T02:06:31       1        99      1.02
            FUV20231221_020650.fits   2023/12/21T02:06:50       1       256      5.02
            FUV20231221_020806.fits   2023/12/21T02:08:06       1       160     30.02
            FUV20231221_021111.fits   2023/12/21T02:11:11       1         8      0.13
            FUV20231221_021131.fits   2023/12/21T02:11:31       1        68      1.03
            FUV20231221_021158.fits   2023/12/21T02:11:58       1       235      5.02
            FUV20231221_021305.fits   2023/12/21T02:13:05       1       153     30.02
            FUV20231221_021611.fits   2023/12/21T02:16:11       1         8      0.13
            FUV20231221_021631.fits   2023/12/21T02:16:31       1        63      1.03
            FUV20231221_021658.fits   2023/12/21T02:16:58       1       196      5.02
            FUV20231221_021806.fits   2023/12/21T02:18:06       1       149     30.02
            FUV20231221_022111.fits   2023/12/21T02:21:11       1         5      0.13
            FUV20231221_022130.fits   2023/12/21T02:21:30       1       103      1.02
            FUV20231221_022158.fits   2023/12/21T02:21:58       1       175      5.02
            FUV20231221_022306.fits   2023/12/21T02:23:06       1       146     30.02
            FUV20231221_022630.fits   2023/12/21T02:26:30       1        83      1.02
            FUV20231221_022659.fits   2023/12/21T02:26:59       1       172      5.02
            FUV20231221_022807.fits   2023/12/21T02:28:07       1       100     30.02
            FUV20231221_023111.fits   2023/12/21T02:31:11       1        21      0.13
            FUV20231221_023131.fits   2023/12/21T02:31:31       1        83      1.03
            FUV20231221_023159.fits   2023/12/21T02:31:59       1       178      5.02
            FUV20231221_023306.fits   2023/12/21T02:33:06       1        69     30.02
            FUV20231221_023611.fits   2023/12/21T02:36:11       1        24      0.13
            FUV20231221_023630.fits   2023/12/21T02:36:30       1        64      1.02
            FUV20231221_023658.fits   2023/12/21T02:36:58       1       193      5.02
            FUV20231221_023807.fits   2023/12/21T02:38:07       1       106     30.02
            FUV20231221_024111.fits   2023/12/21T02:41:11       1        23      0.13
            FUV20231221_024139.fits   2023/12/21T02:41:39       1       108      1.02
            FUV20231221_024157.fits   2023/12/21T02:41:57       1       157      5.02
            FUV20231221_024306.fits   2023/12/21T02:43:06       1       107     30.02
            FUV20231221_024611.fits   2023/12/21T02:46:11       1        15      0.13
            FUV20231221_024631.fits   2023/12/21T02:46:31       1       118      1.03
            FUV20231221_024658.fits   2023/12/21T02:46:58       1       174      5.02
            FUV20231221_024806.fits   2023/12/21T02:48:06       1       115     30.02
            FUV20231221_025111.fits   2023/12/21T02:51:11       1        33      0.13
            FUV20231221_025130.fits   2023/12/21T02:51:30       1        87      1.02
            FUV20231221_025159.fits   2023/12/21T02:51:59       1       223      5.02
            FUV20231221_025305.fits   2023/12/21T02:53:05       1       127     30.02
            FUV20231221_025611.fits   2023/12/21T02:56:11       1        11      0.13
            FUV20231221_025631.fits   2023/12/21T02:56:31       1        85      1.03
            FUV20231221_025659.fits   2023/12/21T02:56:59       1       263      5.02
            FUV20231221_025805.fits   2023/12/21T02:58:05       1       120     30.02
            FUV20231221_030111.fits   2023/12/21T03:01:11       1        29      0.13
            FUV20231221_030131.fits   2023/12/21T03:01:31       1        93      1.03
            FUV20231221_030159.fits   2023/12/21T03:01:59       0       278      5.02
            FUV20231221_030306.fits   2023/12/21T03:03:06       1       170     30.02
            FUV20231221_030611.fits   2023/12/21T03:06:11       1        40      0.13
            FUV20231221_030639.fits   2023/12/21T03:06:39       1       113      1.02
            FUV20231221_030658.fits   2023/12/21T03:06:58       0       324      5.02
            FUV20231221_030805.fits   2023/12/21T03:08:05       1       173     30.02
            FUV20231221_034331.fits   2023/12/21T03:43:31       1         8      0.13
            FUV20231221_034340.fits   2023/12/21T03:43:40       1        76      1.03
            FUV20231221_034408.fits   2023/12/21T03:44:08       1       244      5.02
            FUV20231221_034525.fits   2023/12/21T03:45:25       1       154     30.02
            FUV20231221_034831.fits   2023/12/21T03:48:31       1        22      0.13
            FUV20231221_034841.fits   2023/12/21T03:48:41       1        92      1.03
            FUV20231221_034907.fits   2023/12/21T03:49:07       1       212      5.02
            FUV20231221_035025.fits   2023/12/21T03:50:25       1       147     30.02
