#2024/02 Number Pass = 75 (98.6842%)
                               file                  time    pass    total5   exptime
            FUV20240215_015006.fits   2024/02/15T01:50:06       1        17      0.13
            FUV20240215_015018.fits   2024/02/15T01:50:18       1        77      1.02
            FUV20240215_015034.fits   2024/02/15T01:50:34       1       211      5.02
            FUV20240215_015141.fits   2024/02/15T01:51:41       1        78     30.02
            FUV20240215_015506.fits   2024/02/15T01:55:06       1        20      0.13
            FUV20240215_015516.fits   2024/02/15T01:55:16       1       124      1.03
            FUV20240215_015534.fits   2024/02/15T01:55:34       1       170      5.02
            FUV20240215_015641.fits   2024/02/15T01:56:41       1        92     30.02
            FUV20240215_020006.fits   2024/02/15T02:00:06       1        13      0.13
            FUV20240215_020016.fits   2024/02/15T02:00:16       1       166      1.03
            FUV20240215_020034.fits   2024/02/15T02:00:34       1       162      5.02
            FUV20240215_020141.fits   2024/02/15T02:01:41       1       107     30.02
            FUV20240215_020506.fits   2024/02/15T02:05:06       1        22      0.13
            FUV20240215_020516.fits   2024/02/15T02:05:16       1        75      1.03
            FUV20240215_020534.fits   2024/02/15T02:05:34       1       184      5.02
            FUV20240215_020642.fits   2024/02/15T02:06:42       1       127     30.02
            FUV20240215_021006.fits   2024/02/15T02:10:06       1        11      0.13
            FUV20240215_021015.fits   2024/02/15T02:10:15       1        53      1.02
            FUV20240215_021034.fits   2024/02/15T02:10:34       1       173      5.02
            FUV20240215_021140.fits   2024/02/15T02:11:40       1       135     30.02
            FUV20240215_021506.fits   2024/02/15T02:15:06       1         7      0.13
            FUV20240215_021516.fits   2024/02/15T02:15:16       1        64      1.03
            FUV20240215_021534.fits   2024/02/15T02:15:34       1       162      5.02
            FUV20240215_021641.fits   2024/02/15T02:16:41       0       435     30.02
            FUV20240215_022006.fits   2024/02/15T02:20:06       1         4      0.13
            FUV20240215_022016.fits   2024/02/15T02:20:16       1        52      1.03
            FUV20240215_022034.fits   2024/02/15T02:20:34       1       156      5.02
            FUV20240215_022140.fits   2024/02/15T02:21:40       1       109     30.02
            FUV20240215_022506.fits   2024/02/15T02:25:06       1        11      0.13
            FUV20240215_022516.fits   2024/02/15T02:25:16       1        93      1.03
            FUV20240215_022534.fits   2024/02/15T02:25:34       1       129      5.02
            FUV20240215_022640.fits   2024/02/15T02:26:40       1        84     30.02
            FUV20240215_023006.fits   2024/02/15T02:30:06       1        24      0.13
            FUV20240215_023015.fits   2024/02/15T02:30:15       1       103      1.02
            FUV20240215_023034.fits   2024/02/15T02:30:34       1       145      5.02
            FUV20240215_023140.fits   2024/02/15T02:31:40       1       103     30.02
            FUV20240215_023506.fits   2024/02/15T02:35:06       1        20      0.13
            FUV20240215_023515.fits   2024/02/15T02:35:15       1        66      1.02
            FUV20240215_023533.fits   2024/02/15T02:35:33       1       125      5.02
            FUV20240215_023642.fits   2024/02/15T02:36:42       1        92     30.02
            FUV20240215_024006.fits   2024/02/15T02:40:06       1        30      0.13
            FUV20240215_024016.fits   2024/02/15T02:40:16       1        60      1.03
            FUV20240215_024034.fits   2024/02/15T02:40:34       1       161      5.02
            FUV20240215_024142.fits   2024/02/15T02:41:42       1       123     30.02
            FUV20240215_024506.fits   2024/02/15T02:45:06       1        13      0.13
            FUV20240215_024516.fits   2024/02/15T02:45:16       1       114      1.03
            FUV20240215_024533.fits   2024/02/15T02:45:33       1       149      5.02
            FUV20240215_024640.fits   2024/02/15T02:46:40       1        90     30.02
            FUV20240215_025006.fits   2024/02/15T02:50:06       1        14      0.13
            FUV20240215_025015.fits   2024/02/15T02:50:15       1        72      1.02
            FUV20240215_025034.fits   2024/02/15T02:50:34       1       160      5.02
            FUV20240215_025141.fits   2024/02/15T02:51:41       1       111     30.02
            FUV20240215_025506.fits   2024/02/15T02:55:06       1        28      0.13
            FUV20240215_025515.fits   2024/02/15T02:55:15       1        87      1.02
            FUV20240215_025534.fits   2024/02/15T02:55:34       1       164      5.02
            FUV20240215_025642.fits   2024/02/15T02:56:42       1       138     30.02
            FUV20240215_030006.fits   2024/02/15T03:00:06       1         4      0.13
            FUV20240215_030016.fits   2024/02/15T03:00:16       1        67      1.03
            FUV20240215_030033.fits   2024/02/15T03:00:33       1       155      5.02
            FUV20240215_030140.fits   2024/02/15T03:01:40       1       145     30.02
            FUV20240215_030506.fits   2024/02/15T03:05:06       1         6      0.13
            FUV20240215_030516.fits   2024/02/15T03:05:16       1        66      1.03
            FUV20240215_030533.fits   2024/02/15T03:05:33       1       140      5.02
            FUV20240215_030642.fits   2024/02/15T03:06:42       1       131     30.02
            FUV20240215_031006.fits   2024/02/15T03:10:06       1        16      0.13
            FUV20240215_031016.fits   2024/02/15T03:10:16       1        83      1.03
            FUV20240215_031034.fits   2024/02/15T03:10:34       1       238      5.02
            FUV20240215_031141.fits   2024/02/15T03:11:41       1       145     30.02
            FUV20240215_031506.fits   2024/02/15T03:15:06       1         7      0.13
            FUV20240215_031515.fits   2024/02/15T03:15:15       1       124      1.02
            FUV20240215_031533.fits   2024/02/15T03:15:33       1       221      5.02
            FUV20240215_031641.fits   2024/02/15T03:16:41       1       132     30.02
            FUV20240215_032006.fits   2024/02/15T03:20:06       1        19      0.13
            FUV20240215_032015.fits   2024/02/15T03:20:15       1       102      1.02
            FUV20240215_032033.fits   2024/02/15T03:20:33       1       223      5.02
            FUV20240215_032142.fits   2024/02/15T03:21:42       1       116     30.02
