#2025/11 Number Pass = 43 (97.7273%)
                               file                  time    pass    total5   exptime
            NUV20251119_155619.fits   2025/11/19T15:56:19       1        11      0.08
            NUV20251119_155626.fits   2025/11/19T15:56:26       1        64      1.03
            NUV20251119_155642.fits   2025/11/19T15:56:42       1       208      5.02
            NUV20251119_155732.fits   2025/11/19T15:57:32       1       100     30.02
            NUV20251119_160115.fits   2025/11/19T16:01:15       1        23      0.05
            NUV20251119_160124.fits   2025/11/19T16:01:24       1       114      1.02
            NUV20251119_160143.fits   2025/11/19T16:01:43       1       201      5.02
            NUV20251119_160231.fits   2025/11/19T16:02:31       1       103     30.02
            NUV20251119_160614.fits   2025/11/19T16:06:14       1        48      0.05
            NUV20251119_160624.fits   2025/11/19T16:06:24       1       106      1.02
            NUV20251119_160643.fits   2025/11/19T16:06:43       1       135      5.02
            NUV20251119_160732.fits   2025/11/19T16:07:32       1       136     30.02
            NUV20251119_161114.fits   2025/11/19T16:11:14       1        17      0.05
            NUV20251119_161124.fits   2025/11/19T16:11:24       1       124      1.02
            NUV20251119_161142.fits   2025/11/19T16:11:42       1       174      5.02
            NUV20251119_161232.fits   2025/11/19T16:12:32       1       143     30.02
            NUV20251119_161614.fits   2025/11/19T16:16:14       1        43      0.05
            NUV20251119_161624.fits   2025/11/19T16:16:24       1       101      1.02
            NUV20251119_161643.fits   2025/11/19T16:16:43       1       163      5.02
            NUV20251119_161732.fits   2025/11/19T16:17:32       1        81     30.02
            NUV20251119_162114.fits   2025/11/19T16:21:14       1        25      0.05
            NUV20251119_162124.fits   2025/11/19T16:21:24       1       109      1.02
            NUV20251119_162142.fits   2025/11/19T16:21:42       1       116      5.02
            NUV20251119_162231.fits   2025/11/19T16:22:31       1       136     30.02
            NUV20251119_162615.fits   2025/11/19T16:26:15       1        45      0.05
            NUV20251119_162625.fits   2025/11/19T16:26:25       1        75      1.02
            NUV20251119_162643.fits   2025/11/19T16:26:43       1       189      5.02
            NUV20251119_162739.fits   2025/11/19T16:27:39       1       140     30.02
            NUV20251119_163115.fits   2025/11/19T16:31:15       1         6      0.05
            NUV20251119_163124.fits   2025/11/19T16:31:24       1        70      1.02
            NUV20251119_163142.fits   2025/11/19T16:31:42       1       208      5.02
            NUV20251119_163232.fits   2025/11/19T16:32:32       1       143     30.02
            NUV20251119_163614.fits   2025/11/19T16:36:14       1         6      0.05
            NUV20251119_163625.fits   2025/11/19T16:36:25       1        70      1.02
            NUV20251119_163643.fits   2025/11/19T16:36:43       1       219      5.02
            NUV20251119_163730.fits   2025/11/19T16:37:30       1       171     30.02
            NUV20251119_164114.fits   2025/11/19T16:41:14       1         8      0.05
            NUV20251119_164124.fits   2025/11/19T16:41:24       1        99      1.02
            NUV20251119_164143.fits   2025/11/19T16:41:43       0       286      5.02
            NUV20251119_164232.fits   2025/11/19T16:42:32       1       166     30.02
            NUV20251119_164615.fits   2025/11/19T16:46:15       1         9      0.05
            NUV20251119_164624.fits   2025/11/19T16:46:24       1       108      1.02
            NUV20251119_164642.fits   2025/11/19T16:46:42       1       269      5.02
            NUV20251119_164732.fits   2025/11/19T16:47:32       1       140     30.02
