#2025/07 Number Pass = 131 (99.2424%)
                               file                  time    pass    total5   exptime
            FUV20250702_135933.fits   2025/07/02T13:59:33       1        25      0.14
            FUV20250702_135942.fits   2025/07/02T13:59:42       1        48      1.02
            FUV20250702_140000.fits   2025/07/02T14:00:00       1       118      5.02
            FUV20250702_140118.fits   2025/07/02T14:01:18       1       121     30.02
            FUV20250702_140433.fits   2025/07/02T14:04:33       1        15      0.13
            FUV20250702_140442.fits   2025/07/02T14:04:42       1        31      1.03
            FUV20250702_140500.fits   2025/07/02T14:05:00       1       150      5.02
            FUV20250702_140616.fits   2025/07/02T14:06:16       1       111     30.02
            FUV20250702_140932.fits   2025/07/02T14:09:32       1        13      0.13
            FUV20250702_140943.fits   2025/07/02T14:09:43       1        45      1.03
            FUV20250702_141000.fits   2025/07/02T14:10:00       1       121      5.02
            FUV20250702_141117.fits   2025/07/02T14:11:17       1       129     30.02
            FUV20250702_141432.fits   2025/07/02T14:14:32       1        11      0.13
            FUV20250702_141441.fits   2025/07/02T14:14:41       1        35      1.02
            FUV20250702_141500.fits   2025/07/02T14:15:00       1       136      5.02
            FUV20250702_141616.fits   2025/07/02T14:16:16       1        90     30.02
            FUV20250702_141932.fits   2025/07/02T14:19:32       1         5      0.13
            FUV20250702_141943.fits   2025/07/02T14:19:43       1        47      1.03
            FUV20250702_142000.fits   2025/07/02T14:20:00       1       129      5.02
            FUV20250702_142116.fits   2025/07/02T14:21:16       1       132     30.02
            FUV20250702_142432.fits   2025/07/02T14:24:32       1        19      0.13
            FUV20250702_142443.fits   2025/07/02T14:24:43       1       129      1.03
            FUV20250702_142500.fits   2025/07/02T14:25:00       1       142      5.02
            FUV20250702_142616.fits   2025/07/02T14:26:16       1        75     30.02
            FUV20250702_142932.fits   2025/07/02T14:29:32       1        25      0.13
            FUV20250702_142942.fits   2025/07/02T14:29:42       1        75      1.03
            FUV20250702_143000.fits   2025/07/02T14:30:00       1       107      5.02
            FUV20250702_143116.fits   2025/07/02T14:31:16       1       113     30.02
            FUV20250702_143432.fits   2025/07/02T14:34:32       1         6      0.13
            FUV20250702_143443.fits   2025/07/02T14:34:43       1        82      1.03
            FUV20250702_143500.fits   2025/07/02T14:35:00       1       151      5.02
            FUV20250702_143616.fits   2025/07/02T14:36:16       1        84     30.02
            FUV20250702_143932.fits   2025/07/02T14:39:32       1        16      0.13
            FUV20250702_143943.fits   2025/07/02T14:39:43       1        99      1.03
            FUV20250702_144000.fits   2025/07/02T14:40:00       1       145      5.02
            FUV20250702_144116.fits   2025/07/02T14:41:16       1       112     30.02
            FUV20250702_144432.fits   2025/07/02T14:44:32       1        19      0.13
            FUV20250702_144442.fits   2025/07/02T14:44:42       1       110      1.03
            FUV20250702_144500.fits   2025/07/02T14:45:00       1       170      5.02
            FUV20250702_144618.fits   2025/07/02T14:46:18       1       152     30.02
            FUV20250702_144932.fits   2025/07/02T14:49:32       1         6      0.13
            FUV20250702_144943.fits   2025/07/02T14:49:43       1        75      1.03
