#2024/10 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
            FUV20241023_130259.fits   2024/10/23T13:02:59       1        16      0.20
            FUV20241023_130302.fits   2024/10/23T13:03:02       1       105      1.02
            FUV20241023_130329.fits   2024/10/23T13:03:29       1       119      5.02
            FUV20241023_130448.fits   2024/10/23T13:04:48       1       113     30.02
            FUV20241023_130753.fits   2024/10/23T13:07:53       1         4      0.13
            FUV20241023_130803.fits   2024/10/23T13:08:03       1        60      1.03
            FUV20241023_130821.fits   2024/10/23T13:08:21       1       178      5.02
            FUV20241023_130949.fits   2024/10/23T13:09:49       1       137     30.02
            FUV20241023_131253.fits   2024/10/23T13:12:53       1        15      0.13
            FUV20241023_131301.fits   2024/10/23T13:13:01       1        75      1.02
            FUV20241023_131321.fits   2024/10/23T13:13:21       1       195      5.02
            FUV20241023_131449.fits   2024/10/23T13:14:49       1       120     30.02
            FUV20241023_131753.fits   2024/10/23T13:17:53       1        11      0.13
            FUV20241023_131803.fits   2024/10/23T13:18:03       1        79      1.03
            FUV20241023_131820.fits   2024/10/23T13:18:20       1       128      5.02
            FUV20241023_131947.fits   2024/10/23T13:19:47       1       140     30.02
            FUV20241023_132253.fits   2024/10/23T13:22:53       1        57      0.13
            FUV20241023_132301.fits   2024/10/23T13:23:01       1        96      1.02
            FUV20241023_132321.fits   2024/10/23T13:23:21       1       202      5.02
            FUV20241023_132449.fits   2024/10/23T13:24:49       1       124     30.02
            FUV20241023_132753.fits   2024/10/23T13:27:53       1        18      0.13
            FUV20241023_132801.fits   2024/10/23T13:28:01       1        83      1.02
            FUV20241023_132821.fits   2024/10/23T13:28:21       1       151      5.02
            FUV20241023_132947.fits   2024/10/23T13:29:47       1       125     30.02
            FUV20241023_133253.fits   2024/10/23T13:32:53       1        17      0.13
            FUV20241023_133301.fits   2024/10/23T13:33:01       1       112      1.02
            FUV20241023_133320.fits   2024/10/23T13:33:20       1       216      5.02
            FUV20241023_133447.fits   2024/10/23T13:34:47       1       102     30.02
            FUV20241023_133753.fits   2024/10/23T13:37:53       1        12      0.13
            FUV20241023_133801.fits   2024/10/23T13:38:01       1        94      1.02
            FUV20241023_133820.fits   2024/10/23T13:38:20       1       142      5.02
            FUV20241023_133949.fits   2024/10/23T13:39:49       1       121     30.02
            FUV20241023_134253.fits   2024/10/23T13:42:53       1         6      0.13
            FUV20241023_134301.fits   2024/10/23T13:43:01       1       113      1.02
            FUV20241023_134321.fits   2024/10/23T13:43:21       1       217      5.02
            FUV20241023_134449.fits   2024/10/23T13:44:49       1       101     30.02
            FUV20241023_134753.fits   2024/10/23T13:47:53       1        10      0.13
            FUV20241023_134803.fits   2024/10/23T13:48:03       1        89      1.03
            FUV20241023_134820.fits   2024/10/23T13:48:20       1       205      5.02
            FUV20241023_134949.fits   2024/10/23T13:49:49       1       145     30.02
            FUV20241023_135253.fits   2024/10/23T13:52:53       1         5      0.13
            FUV20241023_135302.fits   2024/10/23T13:53:02       1        62      1.02
            FUV20241023_135320.fits   2024/10/23T13:53:20       1       191      5.02
            FUV20241023_135449.fits   2024/10/23T13:54:49       1       143     30.02
            FUV20241023_135753.fits   2024/10/23T13:57:53       1         5      0.13
            FUV20241023_135803.fits   2024/10/23T13:58:03       1        64      1.03
            FUV20241023_135820.fits   2024/10/23T13:58:20       1       185      5.02
            FUV20241023_135949.fits   2024/10/23T13:59:49       1       136     30.02
            FUV20241023_140253.fits   2024/10/23T14:02:53       1         6      0.13
            FUV20241023_140303.fits   2024/10/23T14:03:03       1        52      1.03
            FUV20241023_140320.fits   2024/10/23T14:03:20       1       167      5.02
            FUV20241023_140449.fits   2024/10/23T14:04:49       1       117     30.02
            FUV20241023_140753.fits   2024/10/23T14:07:53       1        47      0.13
            FUV20241023_140803.fits   2024/10/23T14:08:03       1        85      1.03
            FUV20241023_140820.fits   2024/10/23T14:08:20       1       154      5.02
            FUV20241023_140949.fits   2024/10/23T14:09:49       1       110     30.02
            FUV20241023_141253.fits   2024/10/23T14:12:53       1        35      0.13
            FUV20241023_141303.fits   2024/10/23T14:13:03       1        90      1.03
            FUV20241023_141320.fits   2024/10/23T14:13:20       1       155      5.02
            FUV20241023_141448.fits   2024/10/23T14:14:48       1       111     30.02
            FUV20241023_141753.fits   2024/10/23T14:17:53       1        81      0.13
            FUV20241023_141802.fits   2024/10/23T14:18:02       1       101      1.02
            FUV20241023_141829.fits   2024/10/23T14:18:29       1       158      5.02
            FUV20241023_141949.fits   2024/10/23T14:19:49       1        85     30.02
            FUV20241023_142253.fits   2024/10/23T14:22:53       1        30      0.13
            FUV20241023_142303.fits   2024/10/23T14:23:03       1        71      1.03
            FUV20241023_142320.fits   2024/10/23T14:23:20       1       143      5.02
            FUV20241023_142449.fits   2024/10/23T14:24:49       1        78     30.02
            FUV20241023_142753.fits   2024/10/23T14:27:53       1        13      0.13
            FUV20241023_142801.fits   2024/10/23T14:28:01       1        87      1.02
            FUV20241023_142829.fits   2024/10/23T14:28:29       1       157      5.02
            FUV20241023_142949.fits   2024/10/23T14:29:49       1       106     30.02
            FUV20241023_143253.fits   2024/10/23T14:32:53       1        16      0.13
            FUV20241023_143302.fits   2024/10/23T14:33:02       1        55      1.02
            FUV20241023_143320.fits   2024/10/23T14:33:20       1       186      5.02
            FUV20241023_143448.fits   2024/10/23T14:34:48       1       132     30.02
