#2023/06 Number Pass = 75 (98.6842%)
                               file                  time    pass    total5   exptime
            FUV20230608_001933.fits   2023/06/08T00:19:33       1         4      0.13
            FUV20230608_001949.fits   2023/06/08T00:19:49       1        30      1.02
            FUV20230608_002008.fits   2023/06/08T00:20:08       1       108      5.02
            FUV20230608_002114.fits   2023/06/08T00:21:14       1       115     30.02
            FUV20230608_002430.fits   2023/06/08T00:24:30       1         4      0.13
            FUV20230608_002440.fits   2023/06/08T00:24:40       1        43      1.02
            FUV20230608_002507.fits   2023/06/08T00:25:07       1       101      5.02
            FUV20230608_002616.fits   2023/06/08T00:26:16       1       106     30.02
            FUV20230608_002931.fits   2023/06/08T00:29:31       1         6      0.13
            FUV20230608_002940.fits   2023/06/08T00:29:40       1        41      1.02
            FUV20230608_003007.fits   2023/06/08T00:30:07       1       100      5.02
            FUV20230608_003114.fits   2023/06/08T00:31:14       1       100     30.02
            FUV20230608_003433.fits   2023/06/08T00:34:33       1        37      0.13
            FUV20230608_003441.fits   2023/06/08T00:34:41       1       105      1.02
            FUV20230608_003508.fits   2023/06/08T00:35:08       1        95      5.02
            FUV20230608_003615.fits   2023/06/08T00:36:15       1        61     30.02
            FUV20230608_003934.fits   2023/06/08T00:39:34       1        28      0.14
            FUV20230608_003940.fits   2023/06/08T00:39:40       1       100      1.02
            FUV20230608_004007.fits   2023/06/08T00:40:07       1        66      5.02
            FUV20230608_004116.fits   2023/06/08T00:41:16       1        64     30.03
            FUV20230608_004431.fits   2023/06/08T00:44:31       1        23      0.13
            FUV20230608_004440.fits   2023/06/08T00:44:40       1        74      1.02
            FUV20230608_004507.fits   2023/06/08T00:45:07       1       118      5.02
            FUV20230608_004615.fits   2023/06/08T00:46:15       1        60     30.02
            FUV20230608_004932.fits   2023/06/08T00:49:32       1        49      0.13
            FUV20230608_004941.fits   2023/06/08T00:49:41       1        91      1.02
            FUV20230608_005007.fits   2023/06/08T00:50:07       1       147      5.02
            FUV20230608_005116.fits   2023/06/08T00:51:16       1        71     30.02
            FUV20230608_005432.fits   2023/06/08T00:54:32       1        23      0.13
            FUV20230608_005449.fits   2023/06/08T00:54:49       1       122      1.02
            FUV20230608_005508.fits   2023/06/08T00:55:08       1       114      5.02
            FUV20230608_005615.fits   2023/06/08T00:56:15       1        88     30.02
            FUV20230608_005932.fits   2023/06/08T00:59:32       0         4      0.13
            FUV20230608_005940.fits   2023/06/08T00:59:40       1        60      1.02
            FUV20230608_010008.fits   2023/06/08T01:00:08       1        98      5.02
            FUV20230608_010114.fits   2023/06/08T01:01:14       1       119     30.02
            FUV20230608_010430.fits   2023/06/08T01:04:30       1         9      0.13
            FUV20230608_010440.fits   2023/06/08T01:04:40       1        83      1.02
            FUV20230608_010507.fits   2023/06/08T01:05:07       1       135      5.02
            FUV20230608_010615.fits   2023/06/08T01:06:15       1       120     30.02
            FUV20230608_010933.fits   2023/06/08T01:09:33       1         5      0.13
            FUV20230608_010949.fits   2023/06/08T01:09:49       1        59      1.02
            FUV20230608_011007.fits   2023/06/08T01:10:07       1       145      5.02
            FUV20230608_011115.fits   2023/06/08T01:11:15       1        97     30.02
            FUV20230608_011433.fits   2023/06/08T01:14:33       1         8      0.13
            FUV20230608_011440.fits   2023/06/08T01:14:40       1        83      1.02
            FUV20230608_011507.fits   2023/06/08T01:15:07       1       147      5.02
            FUV20230608_011614.fits   2023/06/08T01:16:14       1       109     30.02
            FUV20230608_011933.fits   2023/06/08T01:19:33       1        40      0.13
            FUV20230608_011940.fits   2023/06/08T01:19:40       1        68      1.02
            FUV20230608_012008.fits   2023/06/08T01:20:08       1       157      5.02
            FUV20230608_012115.fits   2023/06/08T01:21:15       1       109     30.02
            FUV20230608_012430.fits   2023/06/08T01:24:30       1        26      0.13
            FUV20230608_012449.fits   2023/06/08T01:24:49       1        91      1.02
            FUV20230608_012507.fits   2023/06/08T01:25:07       1       175      5.02
            FUV20230608_012614.fits   2023/06/08T01:26:14       1        91     30.02
            FUV20230608_012930.fits   2023/06/08T01:29:30       1        33      0.13
            FUV20230608_012940.fits   2023/06/08T01:29:40       1       151      1.02
            FUV20230608_013007.fits   2023/06/08T01:30:07       1       137      5.02
            FUV20230608_013115.fits   2023/06/08T01:31:15       1        87     30.02
            FUV20230608_013433.fits   2023/06/08T01:34:33       1        29      0.13
            FUV20230608_013449.fits   2023/06/08T01:34:49       1        89      1.02
            FUV20230608_013507.fits   2023/06/08T01:35:07       1        96      5.02
            FUV20230608_013615.fits   2023/06/08T01:36:15       1       116     30.02
            FUV20230608_013930.fits   2023/06/08T01:39:30       1        13      0.13
            FUV20230608_013941.fits   2023/06/08T01:39:41       1        87      1.02
            FUV20230608_014007.fits   2023/06/08T01:40:07       1       118      5.02
            FUV20230608_014114.fits   2023/06/08T01:41:14       1       119     30.02
            FUV20230608_014432.fits   2023/06/08T01:44:32       1        53      0.13
            FUV20230608_014441.fits   2023/06/08T01:44:41       1        95      1.02
            FUV20230608_014508.fits   2023/06/08T01:45:08       1       128      5.02
            FUV20230608_014616.fits   2023/06/08T01:46:16       1        85     30.02
            FUV20230608_014935.fits   2023/06/08T01:49:35       1        10      0.16
            FUV20230608_014944.fits   2023/06/08T01:49:44       1        97      1.02
            FUV20230608_015001.fits   2023/06/08T01:50:01       1       136      5.02
            FUV20230608_015115.fits   2023/06/08T01:51:15       1       120     30.02
