#2025/07 Number Pass = 132 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20250702_135921.fits   2025/07/02T13:59:21       1        21      0.11
            NUV20250702_135947.fits   2025/07/02T13:59:47       1        48      1.03
            NUV20250702_135954.fits   2025/07/02T13:59:54       1       129      5.02
            NUV20250702_140043.fits   2025/07/02T14:00:43       1        83     30.02
            NUV20250702_140426.fits   2025/07/02T14:04:26       1         5      0.05
            NUV20250702_140446.fits   2025/07/02T14:04:46       1        45      1.02
            NUV20250702_140453.fits   2025/07/02T14:04:53       1       108      5.02
            NUV20250702_140542.fits   2025/07/02T14:05:42       1       109     30.02
            NUV20250702_140925.fits   2025/07/02T14:09:25       1        18      0.05
            NUV20250702_140946.fits   2025/07/02T14:09:46       1        35      1.02
            NUV20250702_140953.fits   2025/07/02T14:09:53       1        91      5.02
            NUV20250702_141041.fits   2025/07/02T14:10:41       1        81     30.02
            NUV20250702_141426.fits   2025/07/02T14:14:26       1         6      0.05
            NUV20250702_141446.fits   2025/07/02T14:14:46       1        32      1.02
            NUV20250702_141453.fits   2025/07/02T14:14:53       1       100      5.02
            NUV20250702_141543.fits   2025/07/02T14:15:43       1       114     30.02
            NUV20250702_141926.fits   2025/07/02T14:19:26       1         8      0.05
            NUV20250702_141946.fits   2025/07/02T14:19:46       1        49      1.02
            NUV20250702_141953.fits   2025/07/02T14:19:53       1        98      5.02
            NUV20250702_142043.fits   2025/07/02T14:20:43       1       115     30.02
            NUV20250702_142425.fits   2025/07/02T14:24:25       1        35      0.05
            NUV20250702_142446.fits   2025/07/02T14:24:46       1        56      1.02
            NUV20250702_142453.fits   2025/07/02T14:24:53       1       111      5.02
            NUV20250702_142545.fits   2025/07/02T14:25:45       1        52     30.02
            NUV20250702_142925.fits   2025/07/02T14:29:25       1        39      0.05
            NUV20250702_142946.fits   2025/07/02T14:29:46       1        41      1.02
            NUV20250702_142953.fits   2025/07/02T14:29:53       1       107      5.02
            NUV20250702_143041.fits   2025/07/02T14:30:41       1        69     30.02
            NUV20250702_143425.fits   2025/07/02T14:34:25       1        22      0.05
            NUV20250702_143446.fits   2025/07/02T14:34:46       1        47      1.02
            NUV20250702_143454.fits   2025/07/02T14:34:54       1       104      5.02
            NUV20250702_143545.fits   2025/07/02T14:35:45       1        42     30.02
            NUV20250702_143925.fits   2025/07/02T14:39:25       1        19      0.05
            NUV20250702_143946.fits   2025/07/02T14:39:46       1        62      1.02
            NUV20250702_143953.fits   2025/07/02T14:39:53       1       127      5.02
            NUV20250702_144041.fits   2025/07/02T14:40:41       1       118     30.02
            NUV20250702_144425.fits   2025/07/02T14:44:25       1        31      0.05
            NUV20250702_144446.fits   2025/07/02T14:44:46       1        60      1.02
            NUV20250702_144454.fits   2025/07/02T14:44:54       1       128      5.02
            NUV20250702_144543.fits   2025/07/02T14:45:43       1        90     30.02
            NUV20250702_144926.fits   2025/07/02T14:49:26       1         9      0.05
            NUV20250702_144946.fits   2025/07/02T14:49:46       1        50      1.02
            NUV20250702_144954.fits   2025/07/02T14:49:54       1       132      5.02
            NUV20250702_145040.fits   2025/07/02T14:50:40       1       126     30.02
            NUV20250702_145426.fits   2025/07/02T14:54:26       1         6      0.05
            NUV20250702_145446.fits   2025/07/02T14:54:46       1        66      1.02
            NUV20250702_145453.fits   2025/07/02T14:54:53       1       148      5.02
            NUV20250702_145543.fits   2025/07/02T14:55:43       1       146     30.02
            NUV20250702_145926.fits   2025/07/02T14:59:26       1         9      0.05
            NUV20250702_145946.fits   2025/07/02T14:59:46       1        65      1.02
            NUV20250702_145953.fits   2025/07/02T14:59:53       1       168      5.02
            NUV20250702_150041.fits   2025/07/02T15:00:41       1       150     30.02
            NUV20250702_150425.fits   2025/07/02T15:04:25       1        10      0.05
            NUV20250702_150446.fits   2025/07/02T15:04:46       1        68      1.02
            NUV20250702_150453.fits   2025/07/02T15:04:53       1       170      5.02
            NUV20250702_150542.fits   2025/07/02T15:05:42       1       143     30.02
            NUV20250702_150926.fits   2025/07/02T15:09:26       1         9      0.05
            NUV20250702_150946.fits   2025/07/02T15:09:46       1        84      1.02
            NUV20250702_150953.fits   2025/07/02T15:09:53       1       196      5.02
            NUV20250702_151042.fits   2025/07/02T15:10:42       1       116     30.02
            NUV20250702_151425.fits   2025/07/02T15:14:25       1        65      0.05
            NUV20250702_151446.fits   2025/07/02T15:14:46       1       163      1.02
            NUV20250702_151453.fits   2025/07/02T15:14:53       1       186      5.02
            NUV20250702_151541.fits   2025/07/02T15:15:41       1       142     30.02
            NUV20250702_151925.fits   2025/07/02T15:19:25       1        28      0.05
            NUV20250702_151946.fits   2025/07/02T15:19:46       1       102      1.02
            NUV20250702_152042.fits   2025/07/02T15:20:42       1        58     30.02
            NUV20250702_152426.fits   2025/07/02T15:24:26       1        16      0.05
            NUV20250702_152446.fits   2025/07/02T15:24:46       1        64      1.02
            NUV20250702_152453.fits   2025/07/02T15:24:53       1       129      5.02
            NUV20250702_152540.fits   2025/07/02T15:25:40       1       105     30.02
            NUV20250702_152925.fits   2025/07/02T15:29:25       1        14      0.05
            NUV20250702_152946.fits   2025/07/02T15:29:46       1        80      1.02
            NUV20250702_152953.fits   2025/07/02T15:29:53       1       157      5.02
            NUV20250702_153041.fits   2025/07/02T15:30:41       1       112     30.02
            NUV20250730_132059.fits   2025/07/30T13:20:59       1        15      0.05
            NUV20250730_132107.fits   2025/07/30T13:21:07       1        32      1.03
            NUV20250730_132114.fits   2025/07/30T13:21:14       1        87      5.02
            NUV20250730_132202.fits   2025/07/30T13:22:02       1       120     30.02
            NUV20250730_132555.fits   2025/07/30T13:25:55       1         9      0.05
            NUV20250730_132606.fits   2025/07/30T13:26:06       1        40      1.02
            NUV20250730_132613.fits   2025/07/30T13:26:13       1        90      5.02
            NUV20250730_132702.fits   2025/07/30T13:27:02       1       100     30.02
            NUV20250730_133055.fits   2025/07/30T13:30:55       1         5      0.05
            NUV20250730_133106.fits   2025/07/30T13:31:06       1        46      1.02
            NUV20250730_133115.fits   2025/07/30T13:31:15       1        91      5.02
            NUV20250730_133202.fits   2025/07/30T13:32:02       1        91     30.02
            NUV20250730_133555.fits   2025/07/30T13:35:55       1        32      0.05
            NUV20250730_133606.fits   2025/07/30T13:36:06       1        50      1.02
            NUV20250730_133613.fits   2025/07/30T13:36:13       1       100      5.02
            NUV20250730_133702.fits   2025/07/30T13:37:02       1        89     30.02
            NUV20250730_134056.fits   2025/07/30T13:40:56       1        27      0.05
            NUV20250730_134106.fits   2025/07/30T13:41:06       1       141      1.02
            NUV20250730_134115.fits   2025/07/30T13:41:15       1       106      5.02
            NUV20250730_134202.fits   2025/07/30T13:42:02       1        90     30.02
            NUV20250730_134555.fits   2025/07/30T13:45:55       1        17      0.05
            NUV20250730_134606.fits   2025/07/30T13:46:06       1        60      1.02
            NUV20250730_134614.fits   2025/07/30T13:46:14       1        85      5.02
            NUV20250730_134702.fits   2025/07/30T13:47:02       1        74     30.02
            NUV20250730_135055.fits   2025/07/30T13:50:55       1        33      0.05
            NUV20250730_135106.fits   2025/07/30T13:51:06       1        55      1.02
            NUV20250730_135115.fits   2025/07/30T13:51:15       1       126      5.02
            NUV20250730_135202.fits   2025/07/30T13:52:02       1        79     30.02
            NUV20250730_135555.fits   2025/07/30T13:55:55       1         8      0.05
            NUV20250730_135606.fits   2025/07/30T13:56:06       1        64      1.02
            NUV20250730_135613.fits   2025/07/30T13:56:13       1        90      5.02
            NUV20250730_135702.fits   2025/07/30T13:57:02       1       100     30.02
            NUV20250730_140055.fits   2025/07/30T14:00:55       1        21      0.05
            NUV20250730_140106.fits   2025/07/30T14:01:06       1        79      1.02
            NUV20250730_140114.fits   2025/07/30T14:01:14       1       139      5.02
            NUV20250730_140202.fits   2025/07/30T14:02:02       1        90     30.02
            NUV20250730_140555.fits   2025/07/30T14:05:55       1        11      0.05
            NUV20250730_140606.fits   2025/07/30T14:06:06       1        42      1.02
            NUV20250730_140614.fits   2025/07/30T14:06:14       1       116      5.02
            NUV20250730_140702.fits   2025/07/30T14:07:02       1       116     30.02
            NUV20250730_141056.fits   2025/07/30T14:10:56       1        12      0.05
            NUV20250730_141106.fits   2025/07/30T14:11:06       1        47      1.02
            NUV20250730_141115.fits   2025/07/30T14:11:15       1       122      5.02
            NUV20250730_141203.fits   2025/07/30T14:12:03       1       125     30.02
            NUV20250730_141556.fits   2025/07/30T14:15:56       1        18      0.05
