#2024/05 Number Pass = 73 (96.0526%)
                               file                  time    pass    total5   exptime
            NUV20240508_124829.fits   2024/05/08T12:48:29       1         8      0.05
            NUV20240508_124839.fits   2024/05/08T12:48:39       1        31      1.02
            NUV20240508_124857.fits   2024/05/08T12:48:57       1        77      5.02
            NUV20240508_124946.fits   2024/05/08T12:49:46       1        60     30.02
            NUV20240508_125329.fits   2024/05/08T12:53:29       1        26      0.05
            NUV20240508_125338.fits   2024/05/08T12:53:38       1        42      1.02
            NUV20240508_125356.fits   2024/05/08T12:53:56       1        54      5.02
            NUV20240508_125445.fits   2024/05/08T12:54:45       1        96     30.02
            NUV20240508_125828.fits   2024/05/08T12:58:28       1        76      0.05
            NUV20240508_125839.fits   2024/05/08T12:58:39       1        91      1.02
            NUV20240508_125856.fits   2024/05/08T12:58:56       1        98      5.02
            NUV20240508_125946.fits   2024/05/08T12:59:46       1        61     30.02
            NUV20240508_130329.fits   2024/05/08T13:03:29       1        15      0.05
            NUV20240508_130339.fits   2024/05/08T13:03:39       1        68      1.02
            NUV20240508_130356.fits   2024/05/08T13:03:56       1        56      5.02
            NUV20240508_130448.fits   2024/05/08T13:04:48       1        82     30.02
            NUV20240508_130828.fits   2024/05/08T13:08:28       1        10      0.05
            NUV20240508_130838.fits   2024/05/08T13:08:38       1        82      1.02
            NUV20240508_130856.fits   2024/05/08T13:08:56       1       102      5.02
            NUV20240508_130946.fits   2024/05/08T13:09:46       1        47     30.02
            NUV20240508_131329.fits   2024/05/08T13:13:29       1        16      0.05
            NUV20240508_131339.fits   2024/05/08T13:13:39       1        54      1.02
            NUV20240508_131357.fits   2024/05/08T13:13:57       1        84      5.02
            NUV20240508_131444.fits   2024/05/08T13:14:44       1        39     30.02
            NUV20240508_131828.fits   2024/05/08T13:18:28       1        15      0.05
            NUV20240508_131838.fits   2024/05/08T13:18:38       1        64      1.02
            NUV20240508_131856.fits   2024/05/08T13:18:56       1       100      5.02
            NUV20240508_131945.fits   2024/05/08T13:19:45       1        95     30.02
            NUV20240508_132329.fits   2024/05/08T13:23:29       1        12      0.05
            NUV20240508_132338.fits   2024/05/08T13:23:38       1        45      1.02
            NUV20240508_132356.fits   2024/05/08T13:23:56       1        92      5.02
            NUV20240508_132444.fits   2024/05/08T13:24:44       1        90     30.02
            NUV20240508_132828.fits   2024/05/08T13:28:28       1         5      0.05
            NUV20240508_132838.fits   2024/05/08T13:28:38       1        37      1.02
            NUV20240508_132856.fits   2024/05/08T13:28:56       1        92      5.02
            NUV20240508_132946.fits   2024/05/08T13:29:46       1        89     30.02
            NUV20240508_133329.fits   2024/05/08T13:33:29       1         7      0.05
            NUV20240508_133338.fits   2024/05/08T13:33:38       1        47      1.02
            NUV20240508_133357.fits   2024/05/08T13:33:57       1        95      5.02
            NUV20240508_133446.fits   2024/05/08T13:34:46       1        89     30.02
            NUV20240508_133829.fits   2024/05/08T13:38:29       1         9      0.05
            NUV20240508_133838.fits   2024/05/08T13:38:38       1        58      1.02
            NUV20240508_133856.fits   2024/05/08T13:38:56       1        98      5.02
            NUV20240508_133946.fits   2024/05/08T13:39:46       1       101     30.02
            NUV20240508_134328.fits   2024/05/08T13:43:28       1        16      0.05
            NUV20240508_134338.fits   2024/05/08T13:43:38       1       100      1.02
            NUV20240508_134356.fits   2024/05/08T13:43:56       1       105      5.02
            NUV20240508_134446.fits   2024/05/08T13:44:46       1        67     30.02
            NUV20240508_134828.fits   2024/05/08T13:48:28       1        25      0.05
            NUV20240508_134839.fits   2024/05/08T13:48:39       1        64      1.02
            NUV20240508_134856.fits   2024/05/08T13:48:56       1       101      5.02
            NUV20240508_134945.fits   2024/05/08T13:49:45       1        79     30.02
            NUV20240508_135329.fits   2024/05/08T13:53:29       1        25      0.05
            NUV20240508_135339.fits   2024/05/08T13:53:39       1        75      1.02
            NUV20240508_135357.fits   2024/05/08T13:53:57       0        56      5.02
            NUV20240508_135446.fits   2024/05/08T13:54:46       1        55     30.02
            NUV20240508_135829.fits   2024/05/08T13:58:29       1        15      0.05
            NUV20240508_135839.fits   2024/05/08T13:58:39       1        73      1.02
            NUV20240508_135856.fits   2024/05/08T13:58:56       1       115      5.02
            NUV20240508_135943.fits   2024/05/08T13:59:43       1        91     30.02
            NUV20240508_140328.fits   2024/05/08T14:03:28       0        10      0.05
            NUV20240508_140339.fits   2024/05/08T14:03:39       1       118      1.02
            NUV20240508_140356.fits   2024/05/08T14:03:56       1        95      5.02
            NUV20240508_140446.fits   2024/05/08T14:04:46       1        58     30.02
            NUV20240508_140829.fits   2024/05/08T14:08:29       1        15      0.05
            NUV20240508_140839.fits   2024/05/08T14:08:39       1        50      1.02
            NUV20240508_140856.fits   2024/05/08T14:08:56       1       122      5.02
            NUV20240508_140944.fits   2024/05/08T14:09:44       1        87     30.02
            NUV20240508_141328.fits   2024/05/08T14:13:28       0         4      0.05
            NUV20240508_141339.fits   2024/05/08T14:13:39       1        56      1.02
            NUV20240508_141357.fits   2024/05/08T14:13:57       1        91      5.02
            NUV20240508_141444.fits   2024/05/08T14:14:44       1        74     30.02
            NUV20240508_141828.fits   2024/05/08T14:18:28       1         6      0.05
            NUV20240508_141838.fits   2024/05/08T14:18:38       1        37      1.02
            NUV20240508_141856.fits   2024/05/08T14:18:56       1        90      5.02
            NUV20240508_141946.fits   2024/05/08T14:19:46       1        84     30.02
