#2023/02 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20230216_021542.fits   2023/02/16T02:15:42       1         7      0.08
            NUV20230216_021558.fits   2023/02/16T02:15:58       1        54      1.02
            NUV20230216_021605.fits   2023/02/16T02:16:05       1        96      5.02
            NUV20230216_021655.fits   2023/02/16T02:16:55       1       103     30.02
            NUV20230216_022048.fits   2023/02/16T02:20:48       1         7      0.05
            NUV20230216_022057.fits   2023/02/16T02:20:57       1        32      1.03
            NUV20230216_022104.fits   2023/02/16T02:21:04       1        81      5.02
            NUV20230216_022153.fits   2023/02/16T02:21:53       1        91     30.02
            NUV20230216_022547.fits   2023/02/16T02:25:47       1         6      0.05
            NUV20230216_022550.fits   2023/02/16T02:25:50       1        39      1.05
            NUV20230216_022604.fits   2023/02/16T02:26:04       1        86      5.02
            NUV20230216_022652.fits   2023/02/16T02:26:52       1        88     30.02
            NUV20230216_023040.fits   2023/02/16T02:30:40       1         8      0.06
            NUV20230216_023059.fits   2023/02/16T02:30:59       1        42      1.02
            NUV20230216_023105.fits   2023/02/16T02:31:05       1        97      5.02
            NUV20230216_023152.fits   2023/02/16T02:31:52       1        80     30.02
            NUV20230216_023548.fits   2023/02/16T02:35:48       1        49      0.05
            NUV20230216_023555.fits   2023/02/16T02:35:55       1        76      1.02
            NUV20230216_023604.fits   2023/02/16T02:36:04       1        94      5.02
            NUV20230216_023652.fits   2023/02/16T02:36:52       1        65     30.02
            NUV20230216_024048.fits   2023/02/16T02:40:48       1        41      0.06
            NUV20230216_024055.fits   2023/02/16T02:40:55       1        87      1.02
            NUV20230216_024105.fits   2023/02/16T02:41:05       1        95      5.02
            NUV20230216_024153.fits   2023/02/16T02:41:53       1        54     30.02
            NUV20230216_024547.fits   2023/02/16T02:45:47       1        26      0.05
            NUV20230216_024557.fits   2023/02/16T02:45:57       1        90      1.03
            NUV20230216_024605.fits   2023/02/16T02:46:05       1       106      5.02
            NUV20230216_024654.fits   2023/02/16T02:46:54       1        71     30.02
            NUV20230216_025048.fits   2023/02/16T02:50:48       1        63      0.07
            NUV20230216_025059.fits   2023/02/16T02:50:59       1        69      1.02
            NUV20230216_025104.fits   2023/02/16T02:51:04       1        69      5.02
            NUV20230216_025153.fits   2023/02/16T02:51:53       1        47     30.02
            NUV20230216_025548.fits   2023/02/16T02:55:48       1        38      0.06
            NUV20230216_025550.fits   2023/02/16T02:55:50       1       123      1.04
            NUV20230216_025605.fits   2023/02/16T02:56:05       1       123      5.02
            NUV20230216_025652.fits   2023/02/16T02:56:52       1        44     30.02
            NUV20230216_030047.fits   2023/02/16T03:00:47       1        31      0.05
            NUV20230216_030057.fits   2023/02/16T03:00:57       1        52      1.03
            NUV20230216_030104.fits   2023/02/16T03:01:04       1       112      5.02
            NUV20230216_030152.fits   2023/02/16T03:01:52       1       100     30.02
            NUV20230216_030547.fits   2023/02/16T03:05:47       1         7      0.05
            NUV20230216_030559.fits   2023/02/16T03:05:59       1        46      1.04
            NUV20230216_030604.fits   2023/02/16T03:06:04       1       131      5.02
            NUV20230216_030654.fits   2023/02/16T03:06:54       1       136     30.02
            NUV20230216_031043.fits   2023/02/16T03:10:43       1         8      0.11
            NUV20230216_031050.fits   2023/02/16T03:10:50       1        95      1.03
            NUV20230216_031104.fits   2023/02/16T03:11:04       1       116      5.02
            NUV20230216_031152.fits   2023/02/16T03:11:52       1       133     30.02
            NUV20230216_031541.fits   2023/02/16T03:15:41       1        13      0.09
            NUV20230216_031550.fits   2023/02/16T03:15:50       1        75      1.05
            NUV20230216_031605.fits   2023/02/16T03:16:05       1       131      5.02
            NUV20230216_031653.fits   2023/02/16T03:16:53       1       115     30.02
            NUV20230216_032047.fits   2023/02/16T03:20:47       1        12      0.05
            NUV20230216_032059.fits   2023/02/16T03:20:59       1        69      1.03
            NUV20230216_032105.fits   2023/02/16T03:21:05       1       102      5.02
            NUV20230216_032153.fits   2023/02/16T03:21:53       1        86     30.02
            NUV20230216_032547.fits   2023/02/16T03:25:47       1        65      0.05
            NUV20230216_032559.fits   2023/02/16T03:25:59       1        65      1.04
            NUV20230216_032605.fits   2023/02/16T03:26:05       1       121      5.02
            NUV20230216_032654.fits   2023/02/16T03:26:54       1        69     30.02
            NUV20230216_033049.fits   2023/02/16T03:30:49       1        26      0.05
            NUV20230216_033059.fits   2023/02/16T03:30:59       1        93      1.02
            NUV20230216_033105.fits   2023/02/16T03:31:05       1       135      5.02
            NUV20230216_033152.fits   2023/02/16T03:31:52       1       131     30.02
            NUV20230216_033540.fits   2023/02/16T03:35:40       1        26      0.06
            NUV20230216_033559.fits   2023/02/16T03:35:59       1        66      1.04
            NUV20230216_033604.fits   2023/02/16T03:36:04       1       134      5.02
            NUV20230216_033652.fits   2023/02/16T03:36:52       1        81     30.02
            NUV20230216_034048.fits   2023/02/16T03:40:48       1        33      0.06
            NUV20230216_034050.fits   2023/02/16T03:40:50       1        99      1.05
            NUV20230216_034104.fits   2023/02/16T03:41:04       1       107      5.02
            NUV20230216_034153.fits   2023/02/16T03:41:53       1        54     30.02
            NUV20230216_034548.fits   2023/02/16T03:45:48       1        26      0.06
            NUV20230216_034551.fits   2023/02/16T03:45:51       1        49      1.03
            NUV20230216_034605.fits   2023/02/16T03:46:05       1        82      5.02
            NUV20230216_034652.fits   2023/02/16T03:46:52       1        71     30.02
