#2023/01 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20230119_235354.fits   2023/01/19T23:53:54       1        72      0.07
            NUV20230119_235404.fits   2023/01/19T23:54:04       1        85      1.02
            NUV20230119_235411.fits   2023/01/19T23:54:11       1       106      5.02
            NUV20230119_235501.fits   2023/01/19T23:55:01       1        71     30.02
            NUV20230119_235854.fits   2023/01/19T23:58:54       1        24      0.07
            NUV20230119_235905.fits   2023/01/19T23:59:05       1       110      1.02
            NUV20230119_235911.fits   2023/01/19T23:59:11       1       107      5.02
            NUV20230120_000002.fits   2023/01/20T00:00:02       1       110     30.02
            NUV20230120_000354.fits   2023/01/20T00:03:54       1        47      0.05
            NUV20230120_000405.fits   2023/01/20T00:04:05       1        82      1.02
            NUV20230120_000412.fits   2023/01/20T00:04:12       1        97      5.02
            NUV20230120_000508.fits   2023/01/20T00:05:08       1        91     30.02
            NUV20230120_000854.fits   2023/01/20T00:08:54       1        24      0.06
            NUV20230120_000905.fits   2023/01/20T00:09:05       1       117      1.03
            NUV20230120_000911.fits   2023/01/20T00:09:11       1       142      5.02
            NUV20230120_001000.fits   2023/01/20T00:10:00       1       114     30.02
            NUV20230120_001354.fits   2023/01/20T00:13:54       1        19      0.05
            NUV20230120_001405.fits   2023/01/20T00:14:05       1        59      1.03
            NUV20230120_001411.fits   2023/01/20T00:14:11       1       131      5.02
            NUV20230120_001509.fits   2023/01/20T00:15:09       1        91     30.02
            NUV20230120_001854.fits   2023/01/20T00:18:54       1         4      0.06
            NUV20230120_001909.fits   2023/01/20T00:19:09       1        48      1.05
            NUV20230120_001912.fits   2023/01/20T00:19:12       1       147      5.02
            NUV20230120_002000.fits   2023/01/20T00:20:00       1       155     30.02
            NUV20230120_002354.fits   2023/01/20T00:23:54       1         4      0.07
            NUV20230120_002403.fits   2023/01/20T00:24:03       1        66      1.02
            NUV20230120_002412.fits   2023/01/20T00:24:12       1       179      5.02
            NUV20230120_002508.fits   2023/01/20T00:25:08       1       150     30.02
            NUV20230120_002857.fits   2023/01/20T00:28:57       1        10      0.09
            NUV20230120_002906.fits   2023/01/20T00:29:06       1        67      1.05
            NUV20230120_002912.fits   2023/01/20T00:29:12       1       198      5.02
            NUV20230120_003000.fits   2023/01/20T00:30:00       1       151     30.02
            NUV20230120_010134.fits   2023/01/20T01:01:34       1        13      0.05
            NUV20230120_010142.fits   2023/01/20T01:01:42       1        84      1.03
            NUV20230120_010200.fits   2023/01/20T01:02:00       1       141      5.02
            NUV20230120_010258.fits   2023/01/20T01:02:58       1       113     30.02
            NUV20230120_010633.fits   2023/01/20T01:06:33       1         6      0.06
            NUV20230120_010647.fits   2023/01/20T01:06:47       1        42      1.05
            NUV20230120_010700.fits   2023/01/20T01:07:00       1       116      5.02
            NUV20230120_010758.fits   2023/01/20T01:07:58       1       128     30.02
            NUV20230120_011134.fits   2023/01/20T01:11:34       1         8      0.05
            NUV20230120_011145.fits   2023/01/20T01:11:45       1        53      1.02
            NUV20230120_011200.fits   2023/01/20T01:12:00       1       104      5.02
            NUV20230120_011258.fits   2023/01/20T01:12:58       1       103     30.02
            NUV20230120_011638.fits   2023/01/20T01:16:38       1         6      0.11
            NUV20230120_011649.fits   2023/01/20T01:16:49       1        34      1.05
            NUV20230120_011700.fits   2023/01/20T01:17:00       1        96      5.02
            NUV20230120_011758.fits   2023/01/20T01:17:58       1       116     30.02
            NUV20230120_012133.fits   2023/01/20T01:21:33       1         5      0.06
            NUV20230120_012145.fits   2023/01/20T01:21:45       1        73      1.05
            NUV20230120_012201.fits   2023/01/20T01:22:01       1       102      5.02
            NUV20230120_012258.fits   2023/01/20T01:22:58       1       106     30.02
            NUV20230120_012634.fits   2023/01/20T01:26:34       1        13      0.05
            NUV20230120_012646.fits   2023/01/20T01:26:46       1        91      1.04
            NUV20230120_012700.fits   2023/01/20T01:27:00       1        86      5.02
            NUV20230120_012758.fits   2023/01/20T01:27:58       1       105     30.02
            NUV20230120_013132.fits   2023/01/20T01:31:32       1        50      0.05
            NUV20230120_013145.fits   2023/01/20T01:31:45       1        84      1.03
            NUV20230120_013209.fits   2023/01/20T01:32:09       1       108      5.02
            NUV20230120_013258.fits   2023/01/20T01:32:58       1        83     30.02
            NUV20230120_013632.fits   2023/01/20T01:36:32       1        31      0.05
            NUV20230120_013645.fits   2023/01/20T01:36:45       1        95      1.05
            NUV20230120_013709.fits   2023/01/20T01:37:09       1       102      5.02
            NUV20230120_013759.fits   2023/01/20T01:37:59       1        67     30.02
            NUV20230120_014134.fits   2023/01/20T01:41:34       1        39      0.06
            NUV20230120_014144.fits   2023/01/20T01:41:44       1        95      1.05
            NUV20230120_014200.fits   2023/01/20T01:42:00       1       110      5.02
            NUV20230120_014258.fits   2023/01/20T01:42:58       1        67     30.02
            NUV20230120_014632.fits   2023/01/20T01:46:32       1        46      0.05
            NUV20230120_014645.fits   2023/01/20T01:46:45       1       148      1.05
            NUV20230120_014701.fits   2023/01/20T01:47:01       1       136      5.02
            NUV20230120_014757.fits   2023/01/20T01:47:57       1        54     30.02
            NUV20230120_015138.fits   2023/01/20T01:51:38       1        11      0.10
            NUV20230120_015148.fits   2023/01/20T01:51:48       1        64      1.05
            NUV20230120_015200.fits   2023/01/20T01:52:00       1        91      5.02
            NUV20230120_015259.fits   2023/01/20T01:52:59       1        72     30.02
