#2025/09 Number Pass = 75 (98.6842%)
                               file                  time    pass    total5   exptime
            FUV20250925_022058.fits   2025/09/25T02:20:58       1         9      0.13
            FUV20250925_022116.fits   2025/09/25T02:21:16       1        73      1.02
            FUV20250925_022135.fits   2025/09/25T02:21:35       1       115      5.02
            FUV20250925_022242.fits   2025/09/25T02:22:42       1       122     30.02
            FUV20250925_022557.fits   2025/09/25T02:25:57       1         9      0.13
            FUV20250925_022618.fits   2025/09/25T02:26:18       1        43      1.03
            FUV20250925_022634.fits   2025/09/25T02:26:34       1       137      5.02
            FUV20250925_022742.fits   2025/09/25T02:27:42       1       111     30.02
            FUV20250925_023057.fits   2025/09/25T02:30:57       1         4      0.13
            FUV20250925_023117.fits   2025/09/25T02:31:17       1        55      1.03
            FUV20250925_023135.fits   2025/09/25T02:31:35       1       133      5.02
            FUV20250925_023242.fits   2025/09/25T02:32:42       1       126     30.02
            FUV20250925_023558.fits   2025/09/25T02:35:58       1        12      0.13
            FUV20250925_023618.fits   2025/09/25T02:36:18       1        72      1.03
            FUV20250925_023635.fits   2025/09/25T02:36:35       1       146      5.02
            FUV20250925_023743.fits   2025/09/25T02:37:43       1       106     30.02
            FUV20250925_024058.fits   2025/09/25T02:40:58       1        20      0.13
            FUV20250925_024117.fits   2025/09/25T02:41:17       1        88      1.03
            FUV20250925_024135.fits   2025/09/25T02:41:35       1       135      5.02
            FUV20250925_024243.fits   2025/09/25T02:42:43       1        88     30.02
            FUV20250925_024558.fits   2025/09/25T02:45:58       1        38      0.13
            FUV20250925_024616.fits   2025/09/25T02:46:16       1        68      1.02
            FUV20250925_024635.fits   2025/09/25T02:46:35       1       130      5.02
            FUV20250925_024742.fits   2025/09/25T02:47:42       1       103     30.02
            FUV20250925_025058.fits   2025/09/25T02:50:58       1        17      0.13
            FUV20250925_025118.fits   2025/09/25T02:51:18       1       205      1.03
            FUV20250925_025135.fits   2025/09/25T02:51:35       1        82      5.02
            FUV20250925_025242.fits   2025/09/25T02:52:42       1       118     30.02
            FUV20250925_025558.fits   2025/09/25T02:55:58       1        19      0.13
            FUV20250925_025616.fits   2025/09/25T02:56:16       1        72      1.02
            FUV20250925_025635.fits   2025/09/25T02:56:35       1       154      5.02
            FUV20250925_025742.fits   2025/09/25T02:57:42       0        88     30.02
            FUV20250925_030058.fits   2025/09/25T03:00:58       1        31      0.13
            FUV20250925_030115.fits   2025/09/25T03:01:15       1        86      1.02
            FUV20250925_030135.fits   2025/09/25T03:01:35       1       175      5.02
            FUV20250925_030243.fits   2025/09/25T03:02:43       1       113     30.02
            FUV20250925_030557.fits   2025/09/25T03:05:57       1        19      0.13
            FUV20250925_030617.fits   2025/09/25T03:06:17       1        81      1.03
            FUV20250925_030635.fits   2025/09/25T03:06:35       1       190      5.02
            FUV20250925_030742.fits   2025/09/25T03:07:42       1       138     30.02
            FUV20250925_031057.fits   2025/09/25T03:10:57       1         5      0.13
            FUV20250925_031116.fits   2025/09/25T03:11:16       1        45      1.02
            FUV20250925_031135.fits   2025/09/25T03:11:35       1       172      5.02
            FUV20250925_031242.fits   2025/09/25T03:12:42       1       137     30.02
            FUV20250925_031558.fits   2025/09/25T03:15:58       1        14      0.13
            FUV20250925_031616.fits   2025/09/25T03:16:16       1        65      1.02
            FUV20250925_031635.fits   2025/09/25T03:16:35       1       166      5.02
            FUV20250925_031743.fits   2025/09/25T03:17:43       1       138     30.02
            FUV20250925_032057.fits   2025/09/25T03:20:57       1         4      0.13
            FUV20250925_032117.fits   2025/09/25T03:21:17       1        56      1.03
            FUV20250925_032135.fits   2025/09/25T03:21:35       1       167      5.02
            FUV20250925_032242.fits   2025/09/25T03:22:42       1       135     30.02
            FUV20250925_032558.fits   2025/09/25T03:25:58       1         4      0.13
            FUV20250925_032617.fits   2025/09/25T03:26:17       1        96      1.03
            FUV20250925_032635.fits   2025/09/25T03:26:35       1       163      5.02
            FUV20250925_032742.fits   2025/09/25T03:27:42       1       133     30.02
            FUV20250925_033057.fits   2025/09/25T03:30:57       1        29      0.13
            FUV20250925_033117.fits   2025/09/25T03:31:17       1        96      1.03
            FUV20250925_033135.fits   2025/09/25T03:31:35       1       156      5.02
            FUV20250925_033242.fits   2025/09/25T03:32:42       1       123     30.02
            FUV20250925_033558.fits   2025/09/25T03:35:58       1        40      0.13
            FUV20250925_033618.fits   2025/09/25T03:36:18       1        66      1.03
            FUV20250925_033635.fits   2025/09/25T03:36:35       1       174      5.02
            FUV20250925_033742.fits   2025/09/25T03:37:42       1       102     30.02
            FUV20250925_034058.fits   2025/09/25T03:40:58       1        28      0.13
            FUV20250925_034118.fits   2025/09/25T03:41:18       1        71      1.03
            FUV20250925_034135.fits   2025/09/25T03:41:35       1       151      5.02
            FUV20250925_034242.fits   2025/09/25T03:42:42       1       123     30.02
            FUV20250925_034558.fits   2025/09/25T03:45:58       1        11      0.13
            FUV20250925_034618.fits   2025/09/25T03:46:18       1        80      1.03
            FUV20250925_034634.fits   2025/09/25T03:46:34       1       156      5.02
            FUV20250925_034742.fits   2025/09/25T03:47:42       1       123     30.02
            FUV20250925_035057.fits   2025/09/25T03:50:57       1        16      0.13
            FUV20250925_035116.fits   2025/09/25T03:51:16       1        82      1.02
            FUV20250925_035135.fits   2025/09/25T03:51:35       1       108      5.02
            FUV20250925_035242.fits   2025/09/25T03:52:42       1        86     30.02
