#2024/12 Number Pass = 68 (89.4737%)
                               file                  time    pass    total5   exptime
            FUV20241218_172010.fits   2024/12/18T17:20:10       1        25      0.13
            FUV20241218_172028.fits   2024/12/18T17:20:28       1        62      1.02
            FUV20241218_172057.fits   2024/12/18T17:20:57       1       156      5.02
            FUV20241218_172204.fits   2024/12/18T17:22:04       1       111     30.02
            FUV20241218_172519.fits   2024/12/18T17:25:19       1        17      0.13
            FUV20241218_172529.fits   2024/12/18T17:25:29       1        95      1.03
            FUV20241218_172557.fits   2024/12/18T17:25:57       1       206      5.02
            FUV20241218_172705.fits   2024/12/18T17:27:05       1       109     30.02
            FUV20241218_173010.fits   2024/12/18T17:30:10       1        90      0.13
            FUV20241218_173028.fits   2024/12/18T17:30:28       1        92      1.02
            FUV20241218_173057.fits   2024/12/18T17:30:57       1       207      5.02
            FUV20241218_173205.fits   2024/12/18T17:32:05       1       111     30.02
            FUV20241218_173519.fits   2024/12/18T17:35:19       1        13      0.13
            FUV20241218_173529.fits   2024/12/18T17:35:29       1        92      1.03
            FUV20241218_173557.fits   2024/12/18T17:35:57       1       149      5.02
            FUV20241218_173703.fits   2024/12/18T17:37:03       1       141     30.02
            FUV20241218_174010.fits   2024/12/18T17:40:10       1        22      0.13
            FUV20241218_174030.fits   2024/12/18T17:40:30       1        99      1.03
            FUV20241218_174057.fits   2024/12/18T17:40:57       0       290      5.02
            FUV20241218_174203.fits   2024/12/18T17:42:03       1       172     30.02
            FUV20241218_174510.fits   2024/12/18T17:45:10       1         5      0.13
            FUV20241218_174527.fits   2024/12/18T17:45:27       1       104      1.02
            FUV20241218_174556.fits   2024/12/18T17:45:56       1       267      5.02
            FUV20241218_174705.fits   2024/12/18T17:47:05       1       167     30.02
            FUV20241218_175010.fits   2024/12/18T17:50:10       1         4      0.13
            FUV20241218_175029.fits   2024/12/18T17:50:29       1       124      1.03
            FUV20241218_175057.fits   2024/12/18T17:50:57       0       340      5.02
            FUV20241218_175205.fits   2024/12/18T17:52:05       1       145     30.02
            FUV20241218_175510.fits   2024/12/18T17:55:10       1         6      0.13
            FUV20241218_175527.fits   2024/12/18T17:55:27       1       129      1.02
            FUV20241218_175557.fits   2024/12/18T17:55:57       0       367      5.02
            FUV20241218_175704.fits   2024/12/18T17:57:04       1       176     30.02
            FUV20241218_190018.fits   2024/12/18T19:00:18       1        28      0.13
            FUV20241218_190038.fits   2024/12/18T19:00:38       1       110      1.02
            FUV20241218_190056.fits   2024/12/18T19:00:56       1       236      5.02
            FUV20241218_190203.fits   2024/12/18T19:02:03       1       121     30.02
            FUV20241218_190518.fits   2024/12/18T19:05:18       1        46      0.13
            FUV20241218_190539.fits   2024/12/18T19:05:39       1       112      1.03
            FUV20241218_190556.fits   2024/12/18T19:05:56       1       214      5.02
            FUV20241218_190703.fits   2024/12/18T19:07:03       1       111     30.02
            FUV20241218_191019.fits   2024/12/18T19:10:19       1        35      0.13
            FUV20241218_191037.fits   2024/12/18T19:10:37       1        82      1.02
            FUV20241218_191057.fits   2024/12/18T19:10:57       1       249      5.02
            FUV20241218_191203.fits   2024/12/18T19:12:03       1       145     30.02
            FUV20241218_191518.fits   2024/12/18T19:15:18       1        16      0.13
            FUV20241218_191537.fits   2024/12/18T19:15:37       1        99      1.02
            FUV20241218_191556.fits   2024/12/18T19:15:56       0       288      5.02
            FUV20241218_191704.fits   2024/12/18T19:17:04       1       157     30.02
            FUV20241218_192018.fits   2024/12/18T19:20:18       1        10      0.13
            FUV20241218_192037.fits   2024/12/18T19:20:37       1       109      1.02
            FUV20241218_192057.fits   2024/12/18T19:20:57       0       313      5.02
            FUV20241218_192203.fits   2024/12/18T19:22:03       1       139     30.02
            FUV20241218_192518.fits   2024/12/18T19:25:18       1         5      0.13
            FUV20241218_192539.fits   2024/12/18T19:25:39       1       142      1.03
            FUV20241218_192556.fits   2024/12/18T19:25:56       0       379      5.02
            FUV20241218_192703.fits   2024/12/18T19:27:03       1       178     30.02
            FUV20241218_193018.fits   2024/12/18T19:30:18       1         4      0.13
            FUV20241218_193037.fits   2024/12/18T19:30:37       1       124      1.02
            FUV20241218_193056.fits   2024/12/18T19:30:56       0       385      5.02
            FUV20241218_193203.fits   2024/12/18T19:32:03       1       184     30.02
            FUV20241218_203758.fits   2024/12/18T20:37:58       1        15      0.13
            FUV20241218_203809.fits   2024/12/18T20:38:09       1        85      1.03
            FUV20241218_203837.fits   2024/12/18T20:38:37       1       155      5.02
            FUV20241218_203944.fits   2024/12/18T20:39:44       1       122     30.02
            FUV20241218_204258.fits   2024/12/18T20:42:58       1        19      0.13
            FUV20241218_204308.fits   2024/12/18T20:43:08       1        84      1.03
            FUV20241218_204337.fits   2024/12/18T20:43:37       1       220      5.02
            FUV20241218_204443.fits   2024/12/18T20:44:43       1       106     30.02
            FUV20241218_204759.fits   2024/12/18T20:47:59       1        16      0.13
            FUV20241218_204807.fits   2024/12/18T20:48:07       1       141      1.02
            FUV20241218_204837.fits   2024/12/18T20:48:37       1       223      5.02
            FUV20241218_204943.fits   2024/12/18T20:49:43       1       136     30.02
            FUV20241218_205258.fits   2024/12/18T20:52:58       1        10      0.13
            FUV20241218_205309.fits   2024/12/18T20:53:09       1       125      1.03
            FUV20241218_205336.fits   2024/12/18T20:53:36       0       277      5.02
            FUV20241218_205443.fits   2024/12/18T20:54:43       1       162     30.02
